rank,pred_benefit,att,k,closed_edges,run_dir
0,-262.947727,280.515000,1,E21,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_000
1,-270.216250,307.767000,2,"E21,E27",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_001
2,-273.137751,270.627000,2,"E21,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_002
3,-274.047811,239.403000,4,"E12,E21,E27,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_003
4,-274.269618,273.097000,2,"E20,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_004
5,-275.341336,246.785000,3,"E20,E21,E27",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_005
6,-276.350178,278.672000,4,"E12,E21,E27,E33",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_006
7,-276.955172,273.254000,4,"E12,E21,E27,E4",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_007
8,-277.301857,255.393000,4,"E12,E21,E27,E30",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_008
9,-277.658322,282.619000,3,"E21,E27,E33",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed2\verify_009
