gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,11,530.874,-111681903#0;-120682114#3;-535519490#1;-782714971#4;-783907721#2;111681905#2;25970859#0;28468732#1;502325084#3;876057378#1;876343449#2,runs_J_k16_plain\none_seed9\g001_i000,runs_J_k16_plain\none_seed9\g001_i000\tripinfo.xml
1,1,8,926.358,-111681903#1;-498033359#2;-782714971#0;-782714971#4;120682114#1;58621262#0;783907721#0;783907721#2,runs_J_k16_plain\none_seed9\g001_i001,runs_J_k16_plain\none_seed9\g001_i001\tripinfo.xml
1,2,9,625.332,-28298231;111677669#4;111681903#2;28468732#1;37628709#0;498033359#2;502325084#1;502325084#3;7924772,runs_J_k16_plain\none_seed9\g001_i002,runs_J_k16_plain\none_seed9\g001_i002\tripinfo.xml
1,3,7,600.7633333333333,-111681903#3;-24337240#3;-24337240#6;-880137009#1;111677669#3;26216781#1;58621262#1,runs_J_k16_plain\none_seed9\g001_i003,runs_J_k16_plain\none_seed9\g001_i003\tripinfo.xml
1,4,10,418.5953333333333,-311298662#1;-502325084#1;-5197062#4;-535519490#1;-876343449#2;111677669#4;498033359#2;498033359#3;782714971#0;876057378#2,runs_J_k16_plain\none_seed9\g001_i004,runs_J_k16_plain\none_seed9\g001_i004\tripinfo.xml
1,5,12,1974.4726666666666,-111677671#0;-782714971#4;111677669#5;111681903#2;120682114#2;28468732#0;4935286#3;4970256#8;502325084#1;502325084#3;62826731;876057376,runs_J_k16_plain\none_seed9\g001_i005,runs_J_k16_plain\none_seed9\g001_i005\tripinfo.xml
1,6,8,789.1113333333333,-120682114#1;-28298231;-880140407;111677669#5;111681905#2;24337240#3;4970256#8;880137010,runs_J_k16_plain\none_seed9\g001_i006,runs_J_k16_plain\none_seed9\g001_i006\tripinfo.xml
1,7,8,969.9393333333334,-120682114#1;-24337240#3;-311298685;-880137009#1;26216781#0;26216781#2;28468732#1;311298658,runs_J_k16_plain\none_seed9\g001_i007,runs_J_k16_plain\none_seed9\g001_i007\tripinfo.xml
1,8,8,749.8073333333333,-498033359#3;111677668#0;111677668#3;26216781#2;311298685;498033359#2;783907721#1;880137010,runs_J_k16_plain\none_seed9\g001_i008,runs_J_k16_plain\none_seed9\g001_i008\tripinfo.xml
1,9,5,484.50466666666665,-120682114#1;-5197062#4;26216781#2;311298665;747448014,runs_J_k16_plain\none_seed9\g001_i009,runs_J_k16_plain\none_seed9\g001_i009\tripinfo.xml
1,10,8,817.9966666666667,-111677671#0;-498033359#1;-876343449#0;111677668#0;111681903#0;111681903#3;24337240#0;498033359#1,runs_J_k16_plain\none_seed9\g001_i010,runs_J_k16_plain\none_seed9\g001_i010\tripinfo.xml
1,11,9,1000000000000.0,-7365262;-835445203;111677668#3;111677669#4;111681903#3;58621262#1;782714971#3;876057378#3;876343449#2,runs_J_k16_plain\none_seed9\g001_i011,runs_J_k16_plain\none_seed9\g001_i011\tripinfo.xml
1,12,9,649.2806666666667,-311298665;-783907721#1;-876343449#2;25970859#0;26216781#2;26216781#3;311298658;37628709#1;4935286#1,runs_J_k16_plain\none_seed9\g001_i012,runs_J_k16_plain\none_seed9\g001_i012\tripinfo.xml
1,13,8,624.8393333333333,-25970859#0;-7365262;-782714971#1;-880137009#1;111681903#3;24337240#2;782714971#3;783907721#0,runs_J_k16_plain\none_seed9\g001_i013,runs_J_k16_plain\none_seed9\g001_i013\tripinfo.xml
1,14,12,625.5506666666666,-4950193;111681903#0;24337240#7;26216779#0;26216781#3;4935286#0;4970256#6;502325084#3;747448014;783907721#0;876057378#5;876343449#1,runs_J_k16_plain\none_seed9\g001_i014,runs_J_k16_plain\none_seed9\g001_i014\tripinfo.xml
1,15,14,602.598,-120682114#3;-535519490#1;-782714971#0;-782714971#1;111677669#0;111681905#1;24337240#0;24337240#2;24337240#3;26216781#2;4935286#0;4970256#8;782714971#0;835443464,runs_J_k16_plain\none_seed9\g001_i015,runs_J_k16_plain\none_seed9\g001_i015\tripinfo.xml
1,16,9,1508.508,-111677668#0;-111681903#3;-498033359#2;111677669#2;28468732#0;4970256#6;782714971#2;7924772;835445203,runs_J_k16_plain\none_seed9\g001_i016,runs_J_k16_plain\none_seed9\g001_i016\tripinfo.xml
1,17,7,649.7,-111681903#1;111681903#0;26216779#1;311298662#1;4935286#0;876343449#0;880137009#0,runs_J_k16_plain\none_seed9\g001_i017,runs_J_k16_plain\none_seed9\g001_i017\tripinfo.xml
1,18,8,581.2773333333333,-25970859#0;-25970859#1;-502325084#0;-782714971#2;-880137009#0;111681903#2;120682114#1;26216781#2,runs_J_k16_plain\none_seed9\g001_i018,runs_J_k16_plain\none_seed9\g001_i018\tripinfo.xml
1,19,7,644.456,-24337240#1;-311298662#1;-782714971#1;111677669#4;37628709#1;876343449#0;876343449#1,runs_J_k16_plain\none_seed9\g001_i019,runs_J_k16_plain\none_seed9\g001_i019\tripinfo.xml
1,20,9,488.6213333333333,-111677668#4;-4950193;-782714971#0;111677669#0;311298662#1;311298665;37628709#1;4935286#1;502325084#1,runs_J_k16_plain\none_seed9\g001_i020,runs_J_k16_plain\none_seed9\g001_i020\tripinfo.xml
1,21,12,1381.454,-311298682#0;-782714966#0;-782714971#0;-782714971#3;-782714971#4;-783907721#1;-880137009#1;111677669#4;120682114#2;24337240#0;25970859#1;4970256#7,runs_J_k16_plain\none_seed9\g001_i021,runs_J_k16_plain\none_seed9\g001_i021\tripinfo.xml
1,22,8,1000000000000.0,-25970859#0;-311298665;-311298685;-880140407;111681905#1;5197062#4;782714971#3;876343449#0,runs_J_k16_plain\none_seed9\g001_i022,runs_J_k16_plain\none_seed9\g001_i022\tripinfo.xml
1,23,13,725.3233333333334,-24337240#1;-502325084#0;-876343449#2;120682114#1;24337240#2;25970859#1;4935299#1;498033359#0;535519490#0;58621262#0;876057378#4;876343449#0;880137010,runs_J_k16_plain\none_seed9\g001_i023,runs_J_k16_plain\none_seed9\g001_i023\tripinfo.xml
2,0,10,418.5953333333333,-311298662#1;-502325084#1;-5197062#4;-535519490#1;-876343449#2;111677669#4;498033359#2;498033359#3;782714971#0;876057378#2,runs_J_k16_plain\none_seed9\g002_i000,runs_J_k16_plain\none_seed9\g002_i000\tripinfo.xml
2,1,16,1000000000000.0,-28468730#0;-311298662#1;-311298665;-502325084#1;-782714971#4;-783907721#0;-876343449#0;111677668#4;111681905#2;120682114#2;25970859#0;28468730#0;4935286#3;782714971#0;876057378#1;876057378#2,runs_J_k16_plain\none_seed9\g002_i001,runs_J_k16_plain\none_seed9\g002_i001\tripinfo.xml
2,2,16,699.878,-111681903#0;-205590836#0;-535519490#1;-74277990;-782714971#0;-782714971#1;111677668#4;111677669#4;111681903#1;111681903#3;24337240#4;26216779#0;28468730#1;28468732#1;498033359#2;783907721#1,runs_J_k16_plain\none_seed9\g002_i002,runs_J_k16_plain\none_seed9\g002_i002\tripinfo.xml
2,3,16,855.694,-205590836#0;-24337240#7;-25970859#0;-498033359#0;-782714971#1;-876343449#0;-880137009#1;111681903#1;111681903#3;131942152;24337240#0;26216781#0;311298658;4970256#6;502325084#3;782714971#3,runs_J_k16_plain\none_seed9\g002_i003,runs_J_k16_plain\none_seed9\g002_i003\tripinfo.xml
2,4,3,740.6273333333334,-311298662#1;111677668#4;24337240#5,runs_J_k16_plain\none_seed9\g002_i004,runs_J_k16_plain\none_seed9\g002_i004\tripinfo.xml
2,5,16,723.9833333333333,-111677668#0;-111677668#3;-111677668#4;-120682114#3;-4950193;-498033359#0;-5197062#3;-782714971#3;25970859#0;26216781#3;311298665;37628709#1;4970256#7;502325084#0;782714971#0;7924772,runs_J_k16_plain\none_seed9\g002_i005,runs_J_k16_plain\none_seed9\g002_i005\tripinfo.xml
2,6,7,1000000000000.0,-311298665;-782714971#0;26216779#1;37628709#1;782714971#1;783907721#0;876057378#3,runs_J_k16_plain\none_seed9\g002_i006,runs_J_k16_plain\none_seed9\g002_i006\tripinfo.xml
2,7,16,646.3433333333334,-111681903#1;-4950193;-782714971#0;-782714971#4;111677669#5;25970859#1;26216779#1;28468730#0;28468732#1;311298662#1;311298665;37628709#1;4935286#1;535519490#0;535519490#1;876057378#1,runs_J_k16_plain\none_seed9\g002_i007,runs_J_k16_plain\none_seed9\g002_i007\tripinfo.xml
2,8,16,1000000000000.0,-25970859#0;-25970859#1;-502325084#0;-535519490#1;-876343449#1;-880137009#0;-880140407;111677669#1;120682114#1;24337240#2;24337240#3;26216781#2;28468730#1;4935286#2;876343449#2;880137010,runs_J_k16_plain\none_seed9\g002_i008,runs_J_k16_plain\none_seed9\g002_i008\tripinfo.xml
2,9,16,1051.9366666666667,-120682114#3;-24337240#6;-28298231;-535519490#0;-783907721#1;111677668#4;111677669#0;111681905#1;120682114#3;24337240#0;25970859#1;26216781#1;4935286#1;4970256#8;502325084#1;880137009#1,runs_J_k16_plain\none_seed9\g002_i009,runs_J_k16_plain\none_seed9\g002_i009\tripinfo.xml
2,10,15,1000000000000.0,-120682114#1;-24337240#7;-311298665;-782714971#1;-835445203;-880140407;24337240#2;24337240#5;25970859#1;4935286#0;4935286#2;58621262#1;782714971#0;7924772;876343449#2,runs_J_k16_plain\none_seed9\g002_i010,runs_J_k16_plain\none_seed9\g002_i010\tripinfo.xml
2,11,16,1000000000000.0,-311298662#1;-498033359#1;-5197062#4;-535519490#0;-535519490#1;-783907721#0;-835445203;-876343449#1;-876343449#2;111677669#4;311298682#0;498033359#2;498033359#3;782714971#0;876057378#2;876057378#3,runs_J_k16_plain\none_seed9\g002_i011,runs_J_k16_plain\none_seed9\g002_i011\tripinfo.xml
2,12,16,1000000000000.0,-502325084#1;-5197062#4;-535519490#1;-7365262;-876343449#2;111681903#1;111681903#3;37628709#0;4935299#1;498033359#2;498033359#3;502325084#0;747448014;782714971#0;782714971#4;876343449#0,runs_J_k16_plain\none_seed9\g002_i012,runs_J_k16_plain\none_seed9\g002_i012\tripinfo.xml
2,13,16,1000000000000.0,-111677668#4;-24337240#6;-25970859#0;-498033359#1;-7365262;-782714971#1;-880137009#1;111681903#3;120682114#1;24337240#0;37628709#0;37628709#1;4935286#1;4935286#3;502325084#1;782714971#3,runs_J_k16_plain\none_seed9\g002_i013,runs_J_k16_plain\none_seed9\g002_i013\tripinfo.xml
2,14,9,1206.5573333333334,-24337240#0;-25970859#0;-880137009#1;111677669#5;111677671#0;111681903#2;24337240#7;876057376;880137009#1,runs_J_k16_plain\none_seed9\g002_i014,runs_J_k16_plain\none_seed9\g002_i014\tripinfo.xml
2,15,16,756.9233333333333,-111681903#3;-25970859#0;-25970859#1;-498033359#0;-502325084#0;-782714971#2;-880140407;120682114#1;205590836#2;24337240#4;24337240#5;26216781#0;26216781#2;498033359#0;876057378#3;880137009#0,runs_J_k16_plain\none_seed9\g002_i015,runs_J_k16_plain\none_seed9\g002_i015\tripinfo.xml
2,16,16,749.266,-111677671#0;-120682114#1;-120682114#2;-25970859#0;-498033359#1;-502325084#0;-7365262;-876343449#0;111677669#0;111681903#2;120682114#1;24337240#1;24337240#7;26216781#2;5197062#4;782714966#0,runs_J_k16_plain\none_seed9\g002_i016,runs_J_k16_plain\none_seed9\g002_i016\tripinfo.xml
2,17,16,1000000000000.0,-111677668#4;-24337240#6;-24337240#7;-25970859#0;-311298685;-4950193;-782714966#1;-876343449#1;111677669#0;28468730#0;311298662#1;4935286#1;783907721#2;835443464;876343449#1;880137010,runs_J_k16_plain\none_seed9\g002_i017,runs_J_k16_plain\none_seed9\g002_i017\tripinfo.xml
2,18,16,1000000000000.0,-120682114#3;-311298662#0;-311298665;-311298685;-535519490#1;-782714971#1;111677669#0;111681905#1;24337240#0;26216781#2;4970256#8;782714966#1;782714971#1;835443464;876057378#0;880137009#0,runs_J_k16_plain\none_seed9\g002_i018,runs_J_k16_plain\none_seed9\g002_i018\tripinfo.xml
2,19,16,1095.8,-24337240#3;-24337240#6;-311298662#1;-4950193;-535519490#1;-782714971#4;-783907721#2;-880137009#0;120682114#2;26216779#0;58621262#1;62826731;7924772;835443464;835445203;876343449#2,runs_J_k16_plain\none_seed9\g002_i019,runs_J_k16_plain\none_seed9\g002_i019\tripinfo.xml
