rank,pred_benefit,att,k,closed_edges,run_dir
0,-262.947727,280.515000,1,E21,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_000
1,-270.216250,307.767000,2,"E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_001
2,-274.269618,273.097000,2,"E20,E21",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_002
3,-277.484773,280.385000,1,E27,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_003
4,-277.745098,273.309000,2,"E21,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_004
5,-278.464983,274.169000,3,"E21,E27,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_005
6,-278.656498,229.631000,4,"E16,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_006
7,-278.851782,273.444000,2,"E21,E41",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_007
8,-278.965890,286.169000,2,"E21,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_008
9,-279.240847,271.338000,3,"E21,E25,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed1\verify_009
