instance_id,source_file,source_path,mode,n_seeds,mean_ATT,sd_ATT,median_ATT,IQR_ATT,mean_ATT_95CI_low,mean_ATT_95CI_high,mean_reduction_vs_none_%
B_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,613.5594375000001,4.42481081330118,613.3634374999999,7.1375000000000455,610.8939000000001,616.1868546875,0.96691156554267
B_k9_1od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,619.5499374999999,3.4707018713848967,618.4281249999999,3.6164062499999545,617.6946078124998,621.6908609375,0.0
B_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,both,10,622.745,5.912977572913474,624.47125,10.48599999999999,619.3753887500001,626.20503,0.336322600830762
B_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,init,10,625.8069499999999,5.984233843330872,624.02775,8.137624999999957,622.3515412500001,629.72733,-0.1537097511148615
B_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,mutation,10,623.77395,3.936713847092392,622.646,6.192625000000021,621.4881975,626.14415625,0.1716501572786241
B_k9_1od_x1.0,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\att_summary_by_mode.csv,none,10,624.8465,4.443479436207622,625.104,5.310499999999934,622.2528399999999,627.3438999999998,0.0
B_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,both,10,622.836,3.693904472861969,622.3824999999999,5.423437500000091,620.6515333333333,624.9145041666667,0.6527791614713025
B_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,init,10,625.0705833333334,2.6902573580937834,625.0525,2.967083333333221,623.440440625,626.7310104166667,0.2963456157244824
B_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,mutation,10,625.5248750000002,3.808757073080912,626.4929166666667,3.2959375000000364,622.9943041666667,627.4577864583334,0.2238825363047814
B_k9_1od_x1.2,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\att_summary_by_mode.csv,none,10,626.9284583333333,4.524612365098028,626.684375,6.360937499999977,624.4437750000001,629.6780208333333,0.0
B_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,both,10,601.27525,4.329939819074353,602.1340625,6.321875000000091,598.7938640624999,603.7394750000001,0.025169321361526
B_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,init,10,604.3020625,4.744601775837953,606.3003125,5.226406249999968,601.0394906250001,606.8086625,-0.4781027943350488
B_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,mutation,10,601.6623750000001,8.0397943891274,604.8475,9.290312500000027,596.7371062499999,605.7727062499999,-0.0391984641518078
B_k9_2od_x0.8,att_summary_by_mode.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\att_summary_by_mode.csv,none,10,601.4266250000001,5.02132333535637,601.7778125,5.440000000000055,598.32809375,604.0483328125,0.0
