instance_id,source_file,source_path,comparison,n_pairs,test,p_raw,p_holm,Z,r,cliffs_delta,cliffs_delta_CI_low,cliffs_delta_CI_high,CLES,cohen_dz
D_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.193359375,0.580078125,-1.3007052195221016,-0.4113191058159149,-0.2,-0.8,0.4,0.6,-0.5287046690935711
D_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.232421875,0.46484375,1.194143409897718,0.3776213028156845,0.0,-0.6,0.6,0.5,0.4162242535682058
D_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.130859375,0.392578125,-1.5107216853604954,-0.4777321436347417,-0.6,-1.0,0.0,0.8,-0.5453246204883596
D_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_D_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.76953125,0.76953125,-0.2929880968562333,-0.0926509713383716,-0.4,-1.0,0.2,0.7,-0.0243087203993577
J_k9_6od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.875,1.0,0.1573106846101707,0.0497460063648536,0.1,-0.3024999999999998,0.5,0.2,0.0711116291717491
J_k9_6od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.875,0.875,0.1573106846101707,0.0497460063648536,0.0,-0.6,0.5,0.4,0.2269917603655063
J_k9_6od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.03125,0.09375,2.1538746940614564,0.6811149827832546,0.5,0.0,0.9,0.1,0.5345905886773162
J_k9_6od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.25,0.75,-1.150349380376008,-0.3637724146951587,-0.3,-0.8,0.3,0.6,-0.389767095099332
J_k9_6od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.25,0.5,1.150349380376008,0.3637724146951587,0.3,-0.3,0.8,0.3,0.4806590712872817
J_k9_6od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.734375,0.734375,-0.3393116065388172,-0.1072997513193544,-0.1,-0.7,0.4,0.5,-0.0923156049342878
J_k9_6od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,1.0,1.0,0.0,0.0,-0.1,-0.5,0.3,0.3,0.1658792303710758
J_k9_6od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.1015625,0.3046875,-1.6373253827680638,-0.5177677480354088,-0.6,-1.0,-0.1,0.7,-0.4032958858620483
J_k9_6od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_J_k9_6od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.5625,1.0,0.579132162255556,0.1831376698985753,-0.2,-0.6,0.3,0.4,-0.281534976902747
A_k4_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.25,0.25,-1.150349380376008,-0.3637724146951587,-0.3,-0.8,0.3,0.6,-0.4150588732019059
A_k4_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.10546875,0.2109375,-1.6189001435373596,-0.5119411757951574,-0.4,-1.0,0.2,0.7,-0.6384143813600428
A_k4_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.0078125,0.0234375,-2.6600674686174592,-0.8411871930549643,-0.7,-1.0,-0.3,0.8,-1.2931343202705734
A_k4_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.76953125,1.0,0.2929880968562333,0.0926509713383716,0.2,-0.4,0.8,0.4,0.0977532782422265
A_k4_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.431640625,1.0,-0.786387293998826,-0.248677497205275,-0.6,-1.0,0.0,0.8,-0.2938869029451321
A_k4_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.845703125,0.845703125,-0.1946038037883163,-0.0615391261303583,0.0,-0.6,0.6,0.5,-0.118365059314334
A_k4_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,1.0,1.0,0.0,0.0,0.0,-0.6,0.6,0.5,0.0108570467694248
A_k4_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.361328125,1.0,-0.9128372860725488,-0.2886644957115953,-0.2,-0.8,0.4,0.6,-0.2176374687600196
A_k4_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.921875,1.0,0.098072152488661,0.0310131376899519,0.2,-0.4,0.8,0.4,0.0509633574427283
