instance_id,source_file,source_path,comparison,n_pairs,test,p_raw,p_holm,Z,r,cliffs_delta,cliffs_delta_CI_low,cliffs_delta_CI_high,CLES,cohen_dz
B_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.845703125,0.845703125,0.1946038037883163,0.0615391261303583,0.0,-0.6,0.6,0.5,-0.1530759105327959
B_k9_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.431640625,1.0,-0.786387293998826,-0.248677497205275,0.0,-0.6,0.6,0.5,-0.2789093065927257
B_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.322265625,0.64453125,-0.9898128045978632,-0.3130062919728432,-0.4,-1.0,0.2,0.7,-0.3878583931275724
B_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.65234375,0.65234375,-0.4505086062821782,-0.1424633301359724,-0.3,-0.8,0.3,0.6,-0.2062207880986181
B_k9_1od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.064453125,0.193359375,-1.8490324651688848,-0.5847154057529631,-0.6,-1.0,0.0,0.8,-0.6458394413267009
B_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.322265625,0.966796875,0.9898128045978632,0.3130062919728432,0.0,-0.6,0.6,0.5,0.4438379737900059
B_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.556640625,1.0,0.5878386109171436,0.1858908907087695,0.2,-0.4,0.8,0.4,0.031076359934873
B_k9_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,1.0,1.0,0.0,0.0,0.4,-0.2,1.0,0.3,-0.0292280111027457
B_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,1.0,1.0,0.0,0.0,0.0,-0.6,0.6,0.5,-0.1001107092122009
B_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.431640625,1.0,0.786387293998826,0.248677497205275,0.2,-0.4,0.8,0.4,0.299217865903888
B_k9_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.921875,1.0,0.098072152488661,0.0310131376899519,0.0,-0.6,0.6,0.5,0.1577094145003737
B_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,1.0,1.0,-0.0,-0.0,0.0,-0.6,0.6,0.5,0.0098548069492144
B_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,1.0,1.0,-0.0,-0.0,0.0,-0.6,0.6,0.5,-0.0141848130312292
B_k9_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.6953125,1.0,0.3916558710925915,0.1238524611629888,0.0,-0.6,0.6,0.5,0.0982365799112631
B_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.322265625,0.966796875,-0.9898128045978632,-0.3130062919728432,-0.4,-1.0,0.2,0.7,-0.2935187115182965
B_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.556640625,1.0,-0.5878386109171436,-0.1858908907087695,-0.2,-0.8,0.4,0.6,-0.283008599904061
B_k9_3od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.556640625,0.556640625,-0.5878386109171436,-0.1858908907087695,-0.2,-0.8,0.4,0.6,-0.1642017212066049
B_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.037109375,0.037109375,-2.084558718407909,-0.6591953466530559,-0.8,-1.0,-0.4,0.9,-0.8074608964121275
B_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.009765625,0.029296875,-2.5840195805994783,-0.8171387393167395,-0.6,-1.0,0.0,0.8,-1.40797004297543
B_k9_3od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.009765625,0.01953125,-2.5840195805994783,-0.8171387393167395,-0.8,-1.0,-0.4,0.9,-1.2192454409387203
B_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.375,0.75,0.887146559018876,0.280540374488064,0.4,-0.2,0.8,0.3,0.2686510072698941
B_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.02734375,0.08203125,2.206575216537129,0.6977803512736567,0.6,0.0,1.0,0.2,0.8797727220816908
B_k9_3od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.556640625,0.556640625,-0.5878386109171436,-0.1858908907087695,-0.2,-0.8,0.4,0.6,-0.2137336783576273
