instance_id,source_file,source_path,group,metric,Shapiro_W,Shapiro_p
A_k4_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_A_k4_2od_x1.2\analysis\tables\assumption_checks.csv,mutation,ATT,0.9121167272563414,0.2958495217191602
A_k4_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_A_k4_2od_x1.2\analysis\tables\assumption_checks.csv,none,ATT,0.9482216797551908,0.647509114064672
A_k4_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_A_k4_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9233043375051226,0.3853404131087706
A_k4_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_A_k4_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.912685635043618,0.2999526753037295
A_k4_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_A_k4_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.8980526984398853,0.2085425901106008
B_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\assumption_checks.csv,both,ATT,0.9129001395779236,0.3015119231573168
B_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\assumption_checks.csv,init,ATT,0.9626047472536507,0.8151169345455829
B_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\assumption_checks.csv,mutation,ATT,0.9201846308479944,0.3584973608133893
B_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\assumption_checks.csv,none,ATT,0.8507740572012903,0.0593338308685598
B_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9076695426337124,0.2653637973253643
B_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.944862922271356,0.6082755860925235
B_k9_1od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.8464568258286629,0.0527082527282962
B_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\assumption_checks.csv,both,ATT,0.8449010540157896,0.0505018724475494
B_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\assumption_checks.csv,init,ATT,0.955980091656858,0.7392457558933907
B_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\assumption_checks.csv,mutation,ATT,0.8828815111727537,0.1407980936423695
B_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\assumption_checks.csv,none,ATT,0.982685315723222,0.9779062152088258
B_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.8517784944809199,0.0609876343173333
B_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9167162733978936,0.3303792125431243
B_k9_1od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9381244373531072,0.5323386146628382
B_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\assumption_checks.csv,both,ATT,0.9053865990760932,0.2507802742856487
B_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\assumption_checks.csv,init,ATT,0.9711304890530248,0.901124339886562
B_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\assumption_checks.csv,mutation,ATT,0.8750434083361716,0.1144033697599756
B_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\assumption_checks.csv,none,ATT,0.9377035157590604,0.5277542986355301
B_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9538970809239584,0.7146724187154276
B_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.964724418565442,0.8380946992170126
B_k9_1od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_1od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9650887397174772,0.8419554787485013
B_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\assumption_checks.csv,both,ATT,0.934045966704353,0.4888455440224464
B_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\assumption_checks.csv,init,ATT,0.8393051344368132,0.0432863468979218
B_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\assumption_checks.csv,mutation,ATT,0.8388549228564381,0.0427517558355521
B_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\assumption_checks.csv,none,ATT,0.9670146824030976,0.8618708168743168
B_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.8896129525269648,0.1678821897153364
B_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.8684444821068582,0.0958737603388871
B_k9_2od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.8548681849562917,0.0663597965460404
B_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\assumption_checks.csv,both,ATT,0.9026521938879458,0.2342289345930652
B_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\assumption_checks.csv,init,ATT,0.9098165831016513,0.279733517808353
B_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\assumption_checks.csv,mutation,ATT,0.9776791414929912,0.951547684678865
B_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\assumption_checks.csv,none,ATT,0.9430146398719396,0.5870192982186963
B_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9606555395742372,0.7933212850994907
B_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9643032857759474,0.8335977162719144
B_k9_2od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9237946778592634,0.3896934255057201
B_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\assumption_checks.csv,both,ATT,0.953219498135974,0.706649705920825
B_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\assumption_checks.csv,init,ATT,0.925581756395154,0.4058653411992654
B_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\assumption_checks.csv,mutation,ATT,0.8457443047782405,0.051686344550998
B_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\assumption_checks.csv,none,ATT,0.9588583936024696,0.7727804606157747
B_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9856581895562504,0.9882325210449964
B_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.9355187665336082,0.5043075404026507
B_k9_2od_x1.2,assumption_checks.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9937908509003762,0.9995247904398276
B_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\assumption_checks.csv,both,ATT,0.848497996854903,0.0557458444793235
B_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\assumption_checks.csv,init,ATT,0.949109760409056,0.6579787719849288
B_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\assumption_checks.csv,mutation,ATT,0.91802176622761,0.3407507604839898
B_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\assumption_checks.csv,none,ATT,0.9648602794544622,0.8395377035468006
B_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.9662570097606727,0.8541396478090917
B_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(mutation-none),ATT,0.975808416470186,0.9388703759056296
B_k9_3od_x0.8,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\assumption_checks.csv,paired_diff(both-none),ATT,0.9058043726190352,0.2533962796545225
B_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\assumption_checks.csv,both,ATT,0.9191344862761516,0.3497927211058518
B_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\assumption_checks.csv,init,ATT,0.9528656278841452,0.7024567143005529
B_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\assumption_checks.csv,mutation,ATT,0.8908668953817129,0.1734281684721126
B_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\assumption_checks.csv,none,ATT,0.9329108008448972,0.4771258392769884
B_k9_3od_x1.0,assumption_checks.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\assumption_checks.csv,paired_diff(init-none),ATT,0.8891533869836897,0.1658905835796455
