instance_id,source_file,source_path,mode,seed,gen,indiv,run_dir,Arrivals,TTT,ATT,TimeLossSum,WaitingTimeSum,RouteLengthSum,MeanSpeed,Teleports,k_closed,closed_edges,Reason,WallTimeSec,Step,MinExpectedEnd,VaporizedCnt,Demand,Score,is_valid
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,init,5,2,9,D:\PSPS\runs_A_k4_1od_x0.8\init_seed5\g002_i009,800,177783.0,222.22875,119629.8,91497.0,788287.7600000001,4.433988401590704,,4,"E12,E14,E41,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,init,6,11,6,D:\PSPS\runs_A_k4_1od_x0.8\init_seed6\g011_i006,800,180631.0,225.78875,123237.80000000002,93474.0,776740.6200000007,4.300151247571018,,4,"E23,E3,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,init,7,13,11,D:\PSPS\runs_A_k4_1od_x0.8\init_seed7\g013_i011,800,180631.0,225.78875,123237.80000000002,93474.0,776740.6200000007,4.300151247571018,,4,"E23,E3,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,init,8,4,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed8\g004_i004,800,178749.0,223.43625,119249.20999999985,88854.0,802883.4900000024,4.491681016397308,,4,"E21,E23,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,init,9,13,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed9\g013_i004,800,177783.0,222.22875,119629.8,91497.0,788287.7600000001,4.433988401590704,,4,"E12,E14,E41,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,0,11,12,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed0\g011_i012,800,176083.0,220.10375,117717.30000000005,88878.0,789472.540000001,4.48352504216762,,4,"E23,E42,E6,E7",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,1,9,22,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed1\g009_i022,800,172424.0,215.53,113596.78999999998,85931.0,796268.4200000024,4.618083445460043,,4,"E14,E15,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,2,3,12,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed2\g003_i012,800,181703.0,227.12875,124474.13000000008,94043.0,774554.9300000016,4.262752568752314,,4,"E23,E33,E41,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,3,5,14,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed3\g005_i014,800,177071.0,221.33875,118443.72999999998,90471.0,794504.3000000007,4.486925018777782,,4,"E16,E30,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,4,12,12,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed4\g012_i012,800,176556.0,220.695,120013.77000000002,92856.0,768024.349999999,4.350032567570624,,4,"E1,E16,E17,E23",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,5,15,5,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed5\g015_i005,800,180757.0,225.94625,122845.36999999994,92983.0,783994.2100000002,4.337282705510714,,4,"E23,E38,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,6,9,10,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed6\g009_i010,800,179877.0,224.84625,123833.5500000002,94558.0,761832.1199999999,4.235294784769592,,4,"E16,E17,E38,E5",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,7,10,16,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed7\g010_i016,800,174851.0,218.56375,116893.74999999996,88948.0,785614.0200000007,4.4930484812783495,,4,"E16,E41,E6,E8",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,8,10,18,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed8\g010_i018,800,177783.0,222.22875,119629.8,91497.0,788287.7600000001,4.433988401590704,,4,"E12,E14,E41,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,mutation,9,2,12,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed9\g002_i012,800,179127.0,223.90875,122157.26999999986,92709.0,770678.4199999989,4.302413483171152,,4,"E19,E23,E41,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,0,11,6,D:\PSPS\runs_A_k4_1od_x0.8\none_seed0\g011_i006,800,172424.0,215.53,113596.78999999998,85931.0,796268.4200000024,4.618083445460043,,4,"E14,E15,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,1,14,7,D:\PSPS\runs_A_k4_1od_x0.8\none_seed1\g014_i007,800,177386.0,221.7325,119085.48999999996,90682.0,789612.1799999994,4.451378237290425,,4,"E16,E41,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,2,8,11,D:\PSPS\runs_A_k4_1od_x0.8\none_seed2\g008_i011,800,179590.0,224.4875,120392.63000000003,90513.0,799673.9800000046,4.45277565566014,,4,"E14,E33,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,3,5,13,D:\PSPS\runs_A_k4_1od_x0.8\none_seed3\g005_i013,800,181375.0,226.71875,123359.54000000008,93742.0,784813.9800000008,4.327024011026882,,4,"E16,E21,E41,E5",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,4,12,1,D:\PSPS\runs_A_k4_1od_x0.8\none_seed4\g012_i001,800,177292.0,221.615,118631.1,90145.0,793389.4500000012,4.475043713196316,,4,"E16,E21,E36,E41",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,5,11,10,D:\PSPS\runs_A_k4_1od_x0.8\none_seed5\g011_i010,800,182516.0,228.145,125785.69999999995,97261.0,771054.4700000009,4.224585625369835,,4,"E1,E16,E17,E32",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,6,8,11,D:\PSPS\runs_A_k4_1od_x0.8\none_seed6\g008_i011,800,182661.0,228.32625,127114.85999999991,99643.0,755762.9300000002,4.137516656538616,,4,"E11,E14,E17,E32",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,7,7,12,D:\PSPS\runs_A_k4_1od_x0.8\none_seed7\g007_i012,800,177589.0,221.98625,119760.30999999994,90451.0,782984.3199999991,4.4089685735039845,,4,"E23,E41,E42,E6",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,8,6,10,D:\PSPS\runs_A_k4_1od_x0.8\none_seed8\g006_i010,800,183438.0,229.2975,127152.04000000008,98025.0,765147.0700000003,4.171148126342417,,4,"E11,E16,E32,E33",OK,,,,,,,True
A_k4_1od_x0.8,seed_best.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\seed_best.csv,none,9,9,3,D:\PSPS\runs_A_k4_1od_x0.8\none_seed9\g009_i003,800,182245.0,227.80625,124247.2699999999,95648.0,784729.5600000016,4.305904469258424,,4,"E11,E16,E41,E6",OK,,,,,,,True
A_k4_1od_x1.0,seed_best.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\seed_best.csv,both,0,7,4,D:\PSPS\runs_A_k4_1od_x1.0\both_seed0\g007_i004,1000,258046.0,258.046,184895.2500000001,140676.0,986054.5699999982,3.8212356324066175,,4,"E23,E27,E42,E6",OK,,,,,,,True
