[001] train 1.010 | val 0.893
[002] train 0.888 | val 0.939
[003] train 0.826 | val 0.951
[004] train 0.779 | val 0.721
[005] train 0.721 | val 0.939
[006] train 0.702 | val 0.673
[007] train 0.624 | val 0.813
[008] train 0.537 | val 0.972
[009] train 0.561 | val 0.970
[010] train 0.424 | val 0.695
[011] train 0.352 | val 0.957
[012] train 0.437 | val 0.896
[013] train 0.332 | val 0.858
[014] train 0.321 | val 0.912
[015] train 0.294 | val 1.264
[016] train 0.285 | val 1.000
[017] train 0.211 | val 1.386
[018] train 0.224 | val 0.892
[019] train 0.220 | val 1.393
[020] train 0.283 | val 1.231
[021] train 0.276 | val 1.008
[022] train 0.351 | val 1.164
[023] train 0.245 | val 1.168
[024] train 0.228 | val 1.409
[025] train 0.201 | val 1.409
[026] train 0.189 | val 1.771
[027] train 0.209 | val 1.487
[028] train 0.153 | val 1.692
[029] train 0.192 | val 1.203
[030] train 0.198 | val 1.414
[031] train 0.177 | val 1.885
[032] train 0.255 | val 1.762
[033] train 0.201 | val 1.489
[034] train 0.167 | val 1.838
[035] train 0.172 | val 1.900
[036] train 0.239 | val 1.816
[037] train 0.151 | val 1.932
[038] train 0.135 | val 1.964
[039] train 0.137 | val 2.440
[040] train 0.161 | val 1.328
[041] train 0.103 | val 2.245
[042] train 0.126 | val 2.178
[043] train 0.174 | val 1.432
[044] train 0.129 | val 1.726
[045] train 0.135 | val 1.927
[046] train 0.142 | val 2.109
[047] train 0.160 | val 1.908
[048] train 0.136 | val 2.489
[049] train 0.132 | val 1.901
[050] train 0.129 | val 1.886
[051] train 0.093 | val 1.717
[052] train 0.106 | val 1.672
[053] train 0.117 | val 2.031
[054] train 0.101 | val 2.155
[055] train 0.189 | val 1.609
[056] train 0.075 | val 1.989
[057] train 0.135 | val 1.592
[058] train 0.088 | val 2.072
[059] train 0.062 | val 1.542
[060] train 0.158 | val 2.521
Saved D:\PSPS\output_policy_B_k9_3od_x1.2\policy_model.pt
Elapsed: 235.140 sec
