rank,pred_benefit,att,k,closed_edges,run_dir
0,-521.435605,506.053500,9,"-E12,-E19,E11,E28,E39,E40,E52,E57,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_000
1,-521.585674,514.199500,9,"-E16,-E19,-E50,E110,E24,E39,E40,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_001
2,-521.673832,524.890000,9,"-E14,-E19,-E21,-E64,E11,E28,E33,E39,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_002
3,-521.727395,510.358000,9,"-E14,-E50,E24,E28,E29,E45,E52,E53,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_003
4,-521.728179,519.648000,9,"-E12,-E20,-E53,E110,E33,E39,E40,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_004
5,-521.746966,511.321000,9,"-E12,-E14,-E58,E11,E13,E28,E30,E33,E49",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_005
6,-521.793750,510.159500,9,"-E15,-E17,-E50,-E58,-E6,E31,E33,E39,E40",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_006
7,-521.804486,508.929000,9,"-E14,-E17,-E30,-E32,-E44,-E50,-E9,E28,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_007
8,-521.804964,527.315000,9,"-E16,-E17,-E19,-E50,E110,E24,E39,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_008
9,-521.809291,538.774500,9,"-E14,-E19,-E50,E110,E24,E25,E40,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed0\verify_009
