gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,1,379.3691666666667,E45,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i000,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i000\tripinfo.xml
1,1,2,416.78583333333336,E45;E7,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i001,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i001\tripinfo.xml
1,2,3,352.94083333333333,E1;E19;E31,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i002,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i002\tripinfo.xml
1,3,1,385.81583333333333,E27,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i003,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i003\tripinfo.xml
1,4,1,417.2475,E26,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i004,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i004\tripinfo.xml
1,5,0,389.4433333333333,,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i005,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i005\tripinfo.xml
1,6,0,389.4433333333333,,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i006,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i006\tripinfo.xml
1,7,1,368.34833333333336,E30,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i007,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i007\tripinfo.xml
1,8,1,388.53333333333336,E3,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i008,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i008\tripinfo.xml
1,9,4,405.30833333333334,E31;E32;E38;E4,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i009,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i009\tripinfo.xml
1,10,1,397.82166666666666,E34,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i010,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i010\tripinfo.xml
1,11,3,348.1575,E21;E27;E8,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i011,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i011\tripinfo.xml
1,12,0,389.4433333333333,,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i012,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i012\tripinfo.xml
1,13,3,370.7775,E11;E17;E23,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i013,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i013\tripinfo.xml
1,14,3,377.93,E14;E23;E8,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i014,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i014\tripinfo.xml
1,15,3,379.6041666666667,E11;E19;E25,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i015,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i015\tripinfo.xml
1,16,3,351.1675,E23;E5;E8,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i016,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i016\tripinfo.xml
1,17,3,435.7,E10;E24;E25,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i017,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i017\tripinfo.xml
1,18,4,471.15416666666664,E22;E27;E4;E6,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i018,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i018\tripinfo.xml
1,19,1,362.14416666666665,E20,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i019,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i019\tripinfo.xml
1,20,3,391.25666666666666,E11;E35;E41,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i020,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i020\tripinfo.xml
1,21,0,389.4433333333333,,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i021,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i021\tripinfo.xml
1,22,3,388.65416666666664,E10;E33;E41,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i022,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\init_seed8\g001_i022\tripinfo.xml
