rank,pred_benefit,att,k,closed_edges,run_dir
0,-262.947727,280.515000,1,E21,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_000
1,-267.686732,274.734000,2,"E12,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_001
2,-273.137751,270.627000,2,"E21,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_002
3,-273.654010,262.712000,3,"E12,E20,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_003
4,-274.047811,239.403000,4,"E12,E21,E27,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_004
5,-274.269618,273.097000,2,"E20,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_005
6,-276.350178,278.672000,4,"E12,E21,E27,E33",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_006
7,-276.907189,259.206000,2,"E16,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_007
8,-277.484773,280.385000,1,E27,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_008
9,-277.563571,254.474000,4,"E12,E21,E23,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed4\verify_009
