rank,pred_benefit,att,k,closed_edges,run_dir
0,-277.484773,280.385000,1,E27,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_000
1,-278.572489,258.797000,2,"E1,E21",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_001
2,-278.656498,229.631000,4,"E16,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_002
3,-278.826089,243.832000,4,"E21,E23,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_003
4,-279.392630,244.095000,4,"E20,E21,E23,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_004
5,-279.488240,223.893000,4,"E1,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_005
6,-279.628794,231.076000,4,"E21,E27,E41,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_006
7,-279.634096,291.733000,2,"E21,E30",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_007
8,-279.641620,245.379000,4,"E20,E21,E27,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_008
9,-280.184649,259.424000,3,"E21,E27,E3",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed2\verify_009
