rank,pred_benefit,att,k,closed_edges,run_dir
0,-267.686732,274.734000,2,"E12,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_000
1,-270.952743,277.119000,3,"E12,E21,E27",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_001
2,-272.426701,315.812000,1,E12,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_002
3,-273.654010,262.712000,3,"E12,E20,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_003
4,-274.047811,239.403000,4,"E12,E21,E27,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_004
5,-274.955737,280.385000,2,"E12,E27",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_005
6,-275.413373,263.356000,3,"E12,E16,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_006
7,-275.971978,269.170000,3,"E12,E21,E33",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_007
8,-276.073252,242.958000,4,"E12,E20,E21,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_008
9,-276.350178,278.672000,4,"E12,E21,E27,E33",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed5\verify_009
