rank,pred_benefit,att,k,closed_edges,run_dir
0,-314.351923,644.456000,1,255228345,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_000
1,-532.469648,644.456000,9,"-24337240#0,-28468730#1,-37551339#1,-4970255#0,-814061747#3,153134060#1,248740648#1,36847354#1,69421990#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_001
2,-537.003101,644.456000,9,"-106651997#0,-40009020#3,-4877791,106651991#0,248740648#1,25162906#0,25162906#1,37551477,474168056#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_002
3,-538.577397,688.879333,9,"-111681905#2,-37650111#1,-782714971#1,-814061747#0,-814061747#7,23359215#2,248740648#1,5197053#2,6272848#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_003
4,-538.687850,644.456000,9,"-28468730#1,-40009021#2,-4894992#2,-4894996#2,-4935286#0,106651992,219797807#2,248740648#1,575692603#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_004
5,-539.301237,653.340000,9,"-24337240#7,-7924755,-7924772,-803012921#1,-876343449#0,106651997#2,248740648#1,26943536#0,4970254#5",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_005
6,-539.324847,644.456000,9,"-172251697#2,-23359215#0,-274763815#0,106652014,219796104#3,248740648#1,70018790#1,787570921,876343451#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_006
7,-539.426441,531.929333,9,"-106651999#0,-172251698#3,-96687079#2,248740648#1,36974893,474168056#2,5197064#2,835443463#0,880140407",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_007
8,-541.073136,672.117333,9,"-124266855#5,-24337240#7,-245662716,-36974892,-880137010,248740648#1,4911109#1,5029410#3,7924772",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_008
9,-541.709703,616.818667,9,"-124266855#1,-5055277#0,-712622895,-782714966#1,-876343448#0,120682114#3,127625589,248740648#1,694649100",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed4\verify_009
