gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,3,371.82166666666666,E1;E3;E30,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i000,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i000\tripinfo.xml
1,1,4,347.1566666666667,E14;E15;E17;E27,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i001,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i001\tripinfo.xml
1,2,2,365.93833333333333,E13;E20,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i002,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i002\tripinfo.xml
1,3,2,371.5025,E16;E23,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i003,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i003\tripinfo.xml
1,4,1,379.3691666666667,E45,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i004,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i004\tripinfo.xml
1,5,1,406.05833333333334,E7,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i005,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i005\tripinfo.xml
1,6,0,389.4433333333333,,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i006,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i006\tripinfo.xml
1,7,2,405.205,E10;E37,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i007,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i007\tripinfo.xml
1,8,4,403.6408333333333,E31;E32;E36;E5,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i008,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i008\tripinfo.xml
1,9,3,381.8425,E25;E37;E42,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i009,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i009\tripinfo.xml
1,10,4,412.5758333333333,E29;E41;E6;E8,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i010,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i010\tripinfo.xml
1,11,0,389.4433333333333,,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i011,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i011\tripinfo.xml
1,12,2,391.01916666666665,E16;E30,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i012,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i012\tripinfo.xml
1,13,4,431.5525,E35;E43;E6;E7,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i013,D:\PSPS\runs_A_k4_3od_x1.2_pm01k0\both_seed9\g001_i013\tripinfo.xml
