rank,pred_benefit,att,k,closed_edges,run_dir
0,-494.370445,644.456000,9,"-23359215#2,-37551363,248740648#1,25142441#2,255228349#1,26216780#2,4877786#3,5055277#4,61902822",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_000
1,-510.186889,644.456000,9,"-4970254#0,-75505659,248740648#1,25142441#2,37627664#0,6074658#0,747494340,813586707#0,876057380",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_001
2,-523.142593,644.456000,7,"-5197062#0,231819501#0,248740648#1,36847354#5,410942713,465886916#0,5197062#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_002
3,-534.791174,714.712000,9,"-25970859#0,-26943536#1,-4924949#0,-876343452#5,219797798#1,248740648#1,26216780#2,4924950,61902804",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_003
4,-535.857939,644.456000,9,"-172251698#3,-219796106#1,248740648#1,255228346,36847354#0,410947640#0,4970252,498033359#1,62229574",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_004
5,-537.086955,644.456000,9,"-205590836#0,-240042195#2,-25143145#0,-876057378#0,219796102#0,231819412,248740648#1,27267512#3,4935287#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_005
6,-537.250763,636.414000,9,"-24337240#4,-4895001#0,-4935286#0,-7924760#0,106652009#2,219822415#1,248740648#1,7924763,96687079#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_006
7,-537.463685,644.456000,9,"-219796106#0,-6263818#1,-803012921#0,248740648#1,26943536#1,410941454,474168602#0,478100150,814061747#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_007
8,-537.925053,643.994667,9,"-172249928#1,-4924949#0,-876343451#3,172249927,219796102#1,248740648#1,28468730#0,40033611,6263818#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_008
9,-538.304091,644.456000,9,"-274763814#1,-275267982,-311298662#1,-4970253#1,-4970254#1,-5236305#1,106651999#3,106652010#0,248740648#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed8\verify_009
