rank,pred_benefit,att,k,closed_edges,run_dir
0,-521.635409,534.743000,9,"-E14,-E19,-E25,-E50,E11,E16,E39,E52,E7",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_000
1,-521.641661,548.641000,9,"-E16,-E25,-E32,-E50,-E6,E16,E23,E33,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_001
2,-521.726909,536.369500,9,"-E14,-E19,-E20,-E22,-E25,-E50,E11,E39,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_002
3,-521.793606,506.152500,9,"-E14,-E15,-E19,-E25,-E50,E11,E16,E52,E7",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_003
4,-521.801616,535.128500,9,"-E16,-E25,-E32,-E46,E16,E23,E28,E33,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_004
5,-521.806836,510.423000,9,"-E58,-E9,E13,E16,E21,E23,E28,E57,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_005
6,-521.836698,521.056000,9,"-E19,-E25,-E50,E13,E16,E29,E39,E47,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_006
7,-521.849462,510.323000,9,"-E14,-E50,-E6,E13,E15,E22,E23,E40,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_007
8,-521.854908,508.466000,9,"-E30,-E32,-E50,-E6,E13,E15,E28,E39,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_008
9,-521.878516,542.903500,9,"-E12,-E15,-E25,-E30,-E50,E16,E22,E23,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed9\verify_009
