rank,pred_benefit,att,k,closed_edges,run_dir
0,-267.686732,274.734000,2,"E12,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_000
1,-272.902474,268.481000,3,"E12,E21,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_001
2,-273.654010,262.712000,3,"E12,E20,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_002
3,-274.047811,239.403000,4,"E12,E21,E27,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_003
4,-274.611702,252.768000,4,"E12,E20,E21,E27",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_004
5,-275.640604,271.924000,3,"E12,E21,E23",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_005
6,-276.582325,271.576000,4,"E12,E21,E27,E5",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_006
7,-276.785838,280.504000,3,"E12,E21,E4",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_007
8,-277.337613,237.221000,4,"E20,E21,E27,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_008
9,-277.537878,254.785000,4,"E12,E21,E25,E27",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed3\verify_009
