eval,k,score,accepted,best_score,temp,closed_edges,run_dir
0,9,644.456000,1,644.456000,5.0000,"-106651991#0,-172249931#0,-24337240#0,-4894992#3,-876343452#3,37551339#2,40009021#1,61652404#0,834922892#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0000
2,9,644.456000,1,644.456000,5.0000,"-172249931#0,-24337240#0,-4894992#3,-876343452#3,153134060#1,37551339#2,40009021#1,61652404#0,834922892#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0001
3,9,644.456000,1,644.456000,4.9554,"-172249931#0,-24337240#0,-4894992#3,153134060#1,37551339#2,40009021#1,465885893#0,61652404#0,834922892#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0002
4,8,644.456000,1,644.456000,4.9111,"-172249931#0,-24337240#0,-4894992#3,153134060#1,37551339#2,40009021#1,465885893#0,61652404#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0003
5,7,644.456000,1,644.456000,4.8673,"-172249931#0,-4894992#3,153134060#1,37551339#2,40009021#1,465885893#0,61652404#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0004
6,7,644.456000,1,644.456000,4.8239,"-172249931#0,-4894992#3,153134060#1,37551339#2,465885893#0,5057604,61652404#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0005
7,7,644.456000,1,644.456000,4.7808,"-172249931#0,-4894992#3,153134060#1,37551339#2,465885893#0,5057604,876057368",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0006
8,6,644.456000,1,644.456000,4.7381,"-172249931#0,-4894992#3,153134060#1,37551339#2,465885893#0,876057368",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0007
9,6,644.456000,1,644.456000,4.6958,"-172249931#0,-4894992#3,26943536#0,37551339#2,465885893#0,876057368",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0008
10,6,644.456000,1,644.456000,4.6539,"-172249931#0,-4894992#3,219797779,26943536#0,465885893#0,876057368",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0009
11,6,644.456000,1,644.456000,4.6124,"-172249931#0,-4894992#3,219797779,26943536#0,325795946#1,465885893#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0010
12,6,644.456000,1,644.456000,4.5712,"-172249931#0,-4894992#3,-5236308#1,219797779,26943536#0,325795946#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0011
13,6,644.456000,1,644.456000,4.5304,"-274763813#5,-4894992#3,-5236308#1,219797779,26943536#0,325795946#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0012
14,5,644.456000,1,644.456000,4.4900,"-274763813#5,-5236308#1,219797779,26943536#0,325795946#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0013
15,5,644.456000,1,644.456000,4.4499,"-274763813#5,219797779,26943536#0,325795946#1,410947639",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0014
16,4,644.456000,1,644.456000,4.4102,"-274763813#5,219797779,26943536#0,325795946#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed6\e0015
