eval,k,score,accepted,best_score,temp,closed_edges,run_dir
55,8,629.396667,1,629.396667,3.1088,"-219797779,-40009021#0,-4877788#4,172251698#0,274763815#1,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0054
56,7,629.396667,1,629.396667,3.0810,"-219797779,-40009021#0,172251698#0,274763815#1,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0055
57,6,629.396667,1,629.396667,3.0535,"-219797779,-40009021#0,172251698#0,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0056
58,7,629.396667,1,629.396667,3.0263,"-219797779,-40009021#0,127624156,172251698#0,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0057
59,8,629.396667,1,629.396667,2.9993,"-219797779,-40009021#0,106651997#1,127624156,172251698#0,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0058
60,8,644.456000,0,629.396667,2.9725,"-219797779,-40009021#0,106651997#1,127624156,172251698#0,36851747#2,37627664#1,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0059
61,8,629.396667,1,629.396667,2.9459,"-219797779,-40009021#0,127624156,172251698#0,219822415#1,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0060
62,9,629.396667,1,629.396667,2.9197,"-219797779,-40009021#0,127624156,172251698#0,219796100#1,219822415#1,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0061
63,9,644.456000,0,629.396667,2.8936,"-219797779,-25143145#2,-40009021#0,127624156,172251698#0,219796100#1,219822415#1,36851747#2,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0062
64,9,629.396667,1,629.396667,2.8678,"-219797779,-219797807#1,-40009021#0,127624156,172251698#0,219796100#1,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0063
65,9,629.396667,1,629.396667,2.8422,"-219797779,-219797807#1,-40009021#0,111681905#1,127624156,172251698#0,36851747#2,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0064
66,9,629.396667,1,629.396667,2.8168,"-219797779,-219797807#1,-40009021#0,111681905#1,172251698#0,36851747#2,410947639,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0065
67,9,629.396667,1,629.396667,2.7917,"-219797779,-219797807#1,111681905#1,172251698#0,219796104#0,36851747#2,410947639,58621262#0,768058866",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0066
68,9,629.396667,1,629.396667,2.7667,"-219797779,-219797807#1,111681905#1,172251698#0,219796104#0,36851747#2,37649100#1,410947639,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0067
69,9,629.396667,1,629.396667,2.7420,"-219797779,-219797807#1,111681905#1,172249931#2,172251698#0,36851747#2,37649100#1,410947639,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0068
70,8,629.396667,1,629.396667,2.7176,"-219797779,-219797807#1,111681905#1,172249931#2,36851747#2,37649100#1,410947639,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0069
71,7,629.396667,1,629.396667,2.6933,"-219797779,-219797807#1,111681905#1,172249931#2,36851747#2,410947639,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0070
72,7,629.396667,1,629.396667,2.6693,"-219797779,-219797807#1,106651997#0,111681905#1,172249931#2,36851747#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0071
73,7,629.396667,1,629.396667,2.6454,"-219797779,-219797807#1,111681905#1,172249931#2,25143145#1,36851747#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0072
74,7,629.396667,1,629.396667,2.6218,"-219797779,-219797807#1,172249931#2,25143145#1,36847354#3,36851747#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0073
75,7,629.396667,1,629.396667,2.5984,"-219797779,172249931#2,25143145#1,36847354#3,36851747#2,4894992#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0074
76,6,629.396667,1,629.396667,2.5752,"-219797779,25143145#1,36847354#3,36851747#2,4894992#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0075
77,6,629.396667,1,629.396667,2.5522,"-219797779,219796131#1,25143145#1,36847354#3,4894992#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0076
78,6,644.456000,0,629.396667,2.5295,"-219797779,-240042196#0,219796131#1,25143145#1,36847354#3,4894992#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0077
79,7,629.396667,1,629.396667,2.5069,"-219797779,-4970256#3,219796131#1,25143145#1,36847354#3,4894992#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0078
80,6,644.456000,0,629.396667,2.4845,"-219797779,-4970256#3,219796131#1,25143145#1,36847354#3,4894992#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0079
81,6,629.396667,1,629.396667,2.4623,"-219797779,-4970256#3,219796131#1,25143145#1,36847354#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0080
82,7,629.396667,1,629.396667,2.4403,"-219797779,-4970256#3,111677669#4,219796131#1,25143145#1,36847354#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0081
83,6,629.396667,1,629.396667,2.4186,"-219797779,-4970256#3,111677669#4,219796131#1,36847354#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0082
84,6,629.396667,1,629.396667,2.3970,"-120682116#6,-219797779,111677669#4,219796131#1,36847354#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0083
85,6,629.396667,1,629.396667,2.3756,"-120682116#6,-219797779,111677669#4,36847354#3,58621262#0,61902746#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0084
86,5,629.396667,1,629.396667,2.3544,"-120682116#6,-219797779,111677669#4,36847354#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0085
87,5,733.792000,0,629.396667,2.3334,"-120682116#6,-782714971#1,111677669#4,36847354#3,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0086
88,5,629.396667,1,629.396667,2.3125,"-120682116#6,111677669#4,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0087
89,5,629.396667,1,629.396667,2.2919,"-120682116#6,-219796126#0,36847354#3,37627664#2,58621262#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed5\e0088
