rank,pred_benefit,att,k,closed_edges,run_dir
0,-504.195061,638.780000,9,"-768058866,-7924760#4,111681905#0,120682116#3,172251689,172251697#0,248740648#1,4970251#0,6074658#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_000
1,-516.979623,644.456000,9,"-106652024,-274763813#4,-5236308#1,-678743174,231818115#1,231819415#0,248740648#1,255228359,6074658#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_001
2,-530.199828,644.456000,9,"-6272848#2,153134060#0,231819405,23359215#2,25142441#0,26943536#0,41505408,6074658#1,876343452#6",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_002
3,-531.150005,638.780000,9,"-172251699#1,-240042196#0,-4970251#0,106652029#0,111681905#0,219797807#2,248740648#1,280335873,96687079#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_003
4,-531.753620,638.780000,9,"-120682116#5,-4970253#1,-712622895,-876343452#2,106652010#0,111681905#0,248740648#1,465885893#2,803012921#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_004
5,-535.422269,644.456000,9,"-106652007#1,-40033611,-4911107#2,-4924949#1,106651999#3,248740648#1,4970254#0,778869028,834922892#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_005
6,-536.128878,644.456000,9,"-37551339#0,-37551363,-4992725,-5197045#0,-712622895,219797779,219797780,248740648#1,60942914#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_006
7,-536.348390,621.270667,9,"-120682113#0,-220487593,-782714966#1,216943296#0,248740648#1,4970256#8,4992725,502325084#3,61902755",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_007
8,-536.722035,644.456000,9,"-106652009#1,-24337240#1,-37627664#5,-876343452#6,-880137009#1,255228349#1,37551440,4970251#0,6074658#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_008
9,-537.725503,607.762000,9,"-120682114#2,-4970254#3,-828195561#0,-876343452#3,248740648#1,36851877#1,37551447,760785104#1,7924760#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed6\verify_009
