rank,pred_benefit,att,k,closed_edges,run_dir
0,-262.947727,280.515000,1,E21,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_000
1,-273.137751,270.627000,2,"E21,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_001
2,-274.586447,236.759000,3,"E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_002
3,-275.341336,246.785000,3,"E20,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_003
4,-278.209246,252.498000,3,"E1,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_004
5,-278.209455,274.609000,2,"E21,E5",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_005
6,-278.390866,262.207000,3,"E21,E27,E41",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_006
7,-278.656498,229.631000,4,"E16,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_007
8,-278.826089,243.832000,4,"E21,E23,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_008
9,-278.851782,273.444000,2,"E21,E41",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed5\verify_009
