rank,pred_benefit,att,k,closed_edges,run_dir
0,-527.168890,638.780000,9,"-172251697#1,-220736154#1,-24337240#3,-6263816#2,106652012#0,111681905#0,172249927,248740648#1,332644487#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_000
1,-529.933020,644.456000,9,"-219797779,-26943536#1,-37650111#1,-7924755,24337240#7,248740648#1,274763813#5,4894992#1,502361003",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_001
2,-531.872042,624.721333,9,"-37551447,-4877788#0,-4894997#1,-4970252,-5197061#1,248740648#1,311298662#1,332644487#1,4877785",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_002
3,-532.865282,644.456000,9,"-498033359#3,-6272848#1,-876343451#0,248740648#1,25142441#6,25142441#7,311298662#1,5055277#1,876057378#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_003
4,-535.239047,644.456000,6,"-111681905#2,-4894992#3,-4970253#0,106652030#3,219796129,255228349#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_004
5,-538.391841,644.456000,9,"-37551339#2,-4970255#2,-5026771,-5055277#4,-876343448#5,-gneE3,248740648#1,274763813#4,96687079#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_005
6,-538.752017,644.456000,9,"-124266855#7,-4877788#0,-4894992#3,106652005#0,106652009#1,219796117#2,248740648#1,4970251#1,5029410#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_006
7,-539.167913,644.456000,9,"-106652007#1,-120682116#1,-219796126#6,-5026771,248740648#1,275267985,4877785,4911107#5,5057605#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_007
8,-539.936769,605.251333,9,"120682116#4,120682116#9,248740648#1,25072975#0,280335872,37628709#1,478100148,4970256#5,69421990#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_008
9,-540.021610,644.456000,9,"-231819415#0,-814061747#6,219796113#8,240042196#3,248740648#1,255228353,26216780#1,274763815#1,4929432#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed5\verify_009
