rank,pred_benefit,att,k,closed_edges,run_dir
0,-521.555712,504.229000,9,"-E12,-E22,-E25,-E50,-E64,E33,E40,E52,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_000
1,-521.649068,504.229000,9,"-E12,-E20,-E25,-E50,-E64,E11,E33,E40,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_001
2,-521.659071,520.533500,9,"-E20,-E25,-E50,-E58,E110,E39,E45,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_002
3,-521.718570,518.220500,9,"-E25,-E50,E13,E22,E23,E31,E33,E51,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_003
4,-521.734409,517.762000,9,"-E14,-E47,-E58,E11,E27,E28,E33,E57,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_004
5,-521.740411,520.633500,9,"-E12,-E25,-E30,-E50,-E64,E11,E13,E30,E39",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_005
6,-521.743279,521.168000,9,"-E22,-E25,-E27,-E58,E24,E31,E33,E57,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_006
7,-521.854385,528.129500,9,"-E17,-E25,-E46,-E6,E110,E24,E39,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_007
8,-521.854448,527.172000,9,"-E50,-E58,E11,E17,E28,E39,E52,E57,E9",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_008
9,-521.879016,518.228500,6,"-E20,-E32,-E7,-E9,E33,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed1\verify_009
