rank,pred_benefit,att,k,closed_edges,run_dir
0,-534.660518,644.456000,9,"-40033611,-5197061#3,106651991#2,248740648#1,26216780#2,4894996#3,782714971#4,876057378#4,876343448#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_000
1,-534.957863,644.456000,9,"-205590836#0,-4894999,-4929432#0,-5197062#4,-6263816#3,219796110,248740648#1,37650111#0,4894996#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_001
2,-535.590900,644.456000,9,"-231819410#0,-782714966#0,-880142677,107864729#2,24337240#2,248740644#0,248740648#1,4970256#6,61902777#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_002
3,-535.766293,644.456000,9,"-172249927,-240042195#0,-25142441#2,-502325083,-678743173,248740648#1,36971780,4894996#3,69421988",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_003
4,-535.893800,644.456000,9,"-106651999#0,-124266855#7,-465885895#0,-4877786#0,-4970251#1,106652030#2,248740648#1,26216780#1,5197064#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_004
5,-537.710521,644.456000,9,"-120682114#3,-274763813#0,-40009020#3,-6263818#0,255228349#1,26947645#0,4950115#0,6074658#3,62229567",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_005
6,-537.968834,359.099333,9,"-219822390,-240042195#0,-498033359#2,-5197064#3,-782714971#2,248740648#1,4911107#0,4935286#2,7924772",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_006
7,-538.941678,644.456000,9,"-106651997#2,-106652006,-40009021#1,-828195561#0,219796113#8,248740648#1,36974908#2,410941453,4970254#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_007
8,-538.993320,587.502667,9,"-106651999#0,-111681903#3,-36851747#0,-61902767,219796099,248740648#1,274763814#1,4877788#2,4911107#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_008
9,-539.124181,644.456000,9,"-219796100#1,-25142441#5,111677669#5,248740644#0,248740648#1,36851802,4911109#2,498033359#1,876057378#5",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed7\verify_009
