rank,pred_benefit,att,k,closed_edges,run_dir
0,-521.387281,526.886500,9,"-E14,-E21,-E25,-E32,-E50,E11,E24,E39,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_000
1,-521.520402,540.402500,9,"-E25,-E50,-E53,-E64,E11,E13,E24,E28,E39",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_001
2,-521.625954,540.114500,9,"-E14,-E20,-E21,-E25,-E50,E11,E24,E33,E39",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_002
3,-521.631211,512.203500,9,"-E25,-E30,-E50,-E64,-E8,E13,E39,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_003
4,-521.632158,504.510000,9,"-E20,-E25,-E50,-E58,-E64,E11,E13,E28,E39",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_004
5,-521.673375,523.264000,9,"-E22,-E30,-E50,-E64,E11,E13,E23,E24,E28",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_005
6,-521.714514,525.019500,9,"-E26,E11,E13,E23,E24,E28,E33,E39,E45",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_006
7,-521.760659,537.190000,9,"-E14,-E16,-E20,-E25,-E50,-E64,E11,E33,E39",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_007
8,-521.760783,518.122000,9,"-E12,-E14,-E64,E11,E13,E16,E30,E33,E39",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_008
9,-521.761107,500.242500,9,"-E26,-E53,E13,E16,E24,E28,E33,E40,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed7\verify_009
