eval,k,score,accepted,best_score,temp,closed_edges,run_dir
285,9,499.272000,0,484.110000,0.3647,"-E11,E16,E17,E30,E31,E50,E53,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0284
286,9,485.831000,0,484.110000,0.3614,"-E11,-E13,E16,E17,E31,E40,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0285
287,9,484.662500,0,484.110000,0.3582,"-E11,E16,E17,E30,E31,E40,E47,E50,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0286
288,9,487.689000,0,484.110000,0.3550,"-E11,-E6,E16,E30,E31,E40,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0287
289,9,481.049000,1,481.049000,0.3518,"-E11,E11,E16,E17,E30,E40,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0288
290,8,521.303500,0,481.049000,0.3487,"E11,E16,E17,E30,E40,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0289
291,9,513.666000,0,481.049000,0.3456,"-E11,-E53,E11,E16,E17,E30,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0290
292,9,516.297500,0,481.049000,0.3425,"-E11,-E6,E11,E16,E17,E30,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0291
293,9,500.208000,0,481.049000,0.3394,"-E11,-E14,E11,E16,E17,E30,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0292
294,9,501.079000,0,481.049000,0.3364,"-E11,-E35,E11,E16,E17,E30,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0293
295,9,509.614500,0,481.049000,0.3334,"-E11,-E15,E11,E16,E30,E40,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0294
296,9,472.803000,1,472.803000,0.3304,"-E11,E13,E16,E17,E30,E40,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0295
297,9,497.719000,0,472.803000,0.3275,"-E11,E13,E16,E17,E19,E30,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0296
298,9,472.803000,1,472.803000,0.3246,"-E11,E13,E16,E17,E30,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0297
299,9,472.803000,1,472.803000,0.3217,"-E11,E13,E16,E17,E21,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0298
300,9,500.901000,0,472.803000,0.3188,"-E11,E13,E14,E16,E17,E21,E34,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0299
301,8,472.803000,1,472.803000,0.3160,"-E11,E13,E16,E17,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0300
302,7,483.666500,0,472.803000,0.3131,"-E11,E13,E16,E17,E34,E40,E56",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0301
303,7,485.831000,0,472.803000,0.3103,"-E11,E16,E17,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0302
304,9,499.568000,0,472.803000,0.3076,"-E11,-E39,E13,E16,E17,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0303
305,8,497.749500,0,472.803000,0.3048,"-E11,E13,E17,E34,E40,E50,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0304
306,8,488.337000,0,472.803000,0.3021,"-E11,-E40,E13,E16,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0305
307,8,511.108000,0,472.803000,0.2994,"-E11,E13,E17,E34,E40,E56,E59,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0306
308,9,498.466000,0,472.803000,0.2967,"-E11,E13,E16,E17,E34,E40,E56,E6,E8",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0307
309,9,489.374500,0,472.803000,0.2941,"-E11,-E35,E13,E16,E17,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0308
310,8,494.201500,0,472.803000,0.2915,"-E11,-E58,E13,E16,E17,E34,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0309
311,9,488.919000,0,472.803000,0.2889,"-E11,-E15,E13,E16,E17,E34,E40,E56,E6",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\sa_seed0\e0310
