rank,pred_benefit,att,k,closed_edges,run_dir
0,-521.502153,507.174000,9,"-E25,-E38,-E50,E28,E31,E33,E40,E45,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_000
1,-521.541932,512.851000,9,"-E21,-E25,-E50,E11,E110,E24,E40,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_001
2,-521.626044,497.273500,9,"-E14,-E25,-E38,-E50,-E64,E13,E28,E53,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_002
3,-521.670120,521.889500,9,"-E19,-E30,-E50,-E6,-E8,-E9,E28,E33,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_003
4,-521.704197,514.548000,9,"-E25,-E29,-E38,-E50,E28,E31,E33,E45,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_004
5,-521.769616,512.096500,9,"-E29,-E50,E23,E28,E33,E40,E45,E47,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_005
6,-521.800689,516.768000,9,"-E14,-E25,-E45,-E50,-E63,E23,E31,E33,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_006
7,-521.821077,537.355000,9,"-E14,-E15,-E19,-E25,E13,E21,E24,E45,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_007
8,-521.825459,526.841000,9,"-E14,-E25,-E32,-E47,-E50,-E58,E23,E28,E30",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_008
9,-521.872948,507.688000,9,"-E12,-E25,-E40,-E50,-E64,E28,E31,E39,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed4\verify_009
