instance_id,mode,gen1_n,gen1_unique_closed_edges,gen1_best_ATT,gen1_mean_ATT,gen1_unique_ratio,none_gen1_unique_ratio,none_gen1_best_ATT,none_gen1_mean_ATT,mean_ATT,mean_reduction_vs_none_%,delta_gen1_unique_ratio_vs_none,delta_gen1_best_ATT_vs_none,delta_gen1_mean_ATT_vs_none
A_k4_1od_x0.8,both,240,161,230.42625,256.84515104166667,0.6708333333333333,0.7791666666666667,223.90875,262.0212604166667,223.33975,0.545388963972489,0.10833333333333339,-6.5175000000000125,5.17610937500001
A_k4_1od_x0.8,init,240,161,230.42625,256.84515104166667,0.6708333333333333,0.7791666666666667,223.90875,262.0212604166667,225.026375,-0.2056758748600032,0.10833333333333339,-6.5175000000000125,5.17610937500001
A_k4_1od_x0.8,mutation,240,187,223.90875,262.0212604166667,0.7791666666666667,0.7791666666666667,223.90875,262.0212604166667,222.029,1.1290742748742624,0.0,0.0,0.0
A_k4_1od_x1.0,both,240,163,265.957,304.7919625,0.6791666666666667,0.7791666666666667,266.551,308.76684166666666,264.8703,1.47631000241037,0.09999999999999998,0.5939999999999941,3.9748791666666534
A_k4_1od_x1.0,init,240,163,265.957,304.7919625,0.6791666666666667,0.7791666666666667,266.551,308.76684166666666,265.85360000000003,1.1105523301661278,0.09999999999999998,0.5939999999999941,3.9748791666666534
A_k4_1od_x1.0,mutation,240,187,266.551,308.76684166666666,0.7791666666666667,0.7791666666666667,266.551,308.76684166666666,268.3376999999999,0.1865427363271718,0.0,0.0,0.0
A_k4_2od_x0.8,both,240,160,197.12125,243.2461145833333,0.6666666666666666,0.7333333333333333,198.68375,249.41059375,196.666875,0.1715693583724737,0.06666666666666665,1.5625,6.164479166666695
A_k4_2od_x0.8,init,240,160,197.12125,243.2461145833333,0.6666666666666666,0.7333333333333333,198.68375,249.41059375,197.075625,-0.0359128168782644,0.06666666666666665,1.5625,6.164479166666695
A_k4_2od_x0.8,mutation,240,176,198.68375,249.41059375,0.7333333333333333,0.7333333333333333,198.68375,249.41059375,196.372875,0.3208042440574148,0.0,0.0,0.0
A_k4_2od_x1.0,both,240,160,256.571,304.11457083333335,0.6666666666666666,0.7333333333333333,263.804,310.69665833333335,233.4045,3.726345557184351,0.06666666666666665,7.232999999999947,6.5820875
A_k4_2od_x1.0,init,240,160,256.571,304.11457083333335,0.6666666666666666,0.7333333333333333,263.804,310.69665833333335,238.3243,1.6970482423178317,0.06666666666666665,7.232999999999947,6.5820875
