eval,k,score,accepted,best_score,temp,closed_edges,run_dir
0,6,644.456000,1,644.456000,5.0000,"-172251691,-876343451#2,25072975#1,25970859#0,40033611,4877785",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0000
2,6,644.456000,1,644.456000,5.0000,"-172251691,-876343451#2,25970859#0,37651116#0,40033611,4877785",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0001
3,5,644.456000,1,644.456000,4.9554,"-172251691,25970859#0,37651116#0,40033611,4877785",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0002
4,4,644.456000,1,644.456000,4.9111,"-172251691,37651116#0,40033611,4877785",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0003
5,4,644.456000,1,644.456000,4.8673,"-4877786#4,37651116#0,40033611,4877785",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0004
6,3,644.456000,1,644.456000,4.8239,"-4877786#4,37651116#0,4877785",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0005
7,2,644.456000,1,644.456000,4.7808,"-4877786#4,37651116#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0006
8,1,644.456000,1,644.456000,4.7381,37651116#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0007
9,1,644.456000,1,644.456000,4.6958,-274763814#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0008
10,1,644.456000,1,644.456000,4.6539,37627664#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0009
11,1,644.456000,1,644.456000,4.6124,274763814#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0010
12,0,644.456000,1,644.456000,4.5712,,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0011
13,1,644.456000,1,644.456000,4.5304,28468730#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0012
14,1,644.456000,1,644.456000,4.4499,4970256#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0013
15,1,644.456000,1,644.456000,4.4102,-27267512#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0014
16,1,644.456000,1,644.456000,4.3708,678743175,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0015
17,1,644.456000,1,644.456000,4.3318,-831160282,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0016
18,1,644.456000,1,644.456000,4.2931,-5197061#2,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0017
19,1,644.456000,1,644.456000,4.2548,-4877788#4,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0018
20,1,644.456000,1,644.456000,4.2168,-240042196#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0019
21,1,649.087333,0,644.456000,4.1419,111677669#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0020
22,1,644.456000,1,644.456000,4.1049,4970255#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0021
23,1,644.456000,1,644.456000,4.0683,4950117#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0022
24,1,644.456000,1,644.456000,3.9960,-26943536#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0023
25,1,644.456000,1,644.456000,3.9249,5197064#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0024
26,1,644.456000,1,644.456000,3.8899,106652015,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0025
27,1,644.456000,1,644.456000,3.8552,-5057605#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0026
28,1,644.456000,1,644.456000,3.7867,-220934956,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0027
29,1,644.456000,1,644.456000,3.7529,876343451#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0028
30,1,644.456000,1,644.456000,3.7194,-172251688,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0029
31,1,644.456000,1,644.456000,3.6533,4894996#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0030
32,1,644.456000,1,644.456000,3.6207,-760785104#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0031
33,1,644.456000,1,644.456000,3.5563,465885893#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0032
34,1,644.456000,1,644.456000,3.5246,-24337240#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0033
35,1,644.456000,1,644.456000,3.4619,61652404#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0034
36,1,644.456000,1,644.456000,3.4310,-5197061#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0035
37,1,644.456000,1,644.456000,3.4004,10271492#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0036
38,1,644.456000,1,644.456000,3.3700,219797801#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0037
39,1,644.456000,1,644.456000,3.3400,26943536#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0038
40,1,644.456000,1,644.456000,3.3101,-4894996#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0039
41,1,644.456000,1,644.456000,3.2806,5197062#4,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0040
42,1,644.456000,1,644.456000,3.2513,-37628709#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0041
43,1,644.456000,1,644.456000,3.1650,-36974908#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0042
44,1,644.456000,1,644.456000,3.1088,-5055277#4,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0043
45,1,644.456000,1,644.456000,3.0810,37651116#2,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0044
46,1,644.456000,1,644.456000,3.0535,876343452#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0045
47,1,644.456000,1,644.456000,2.9993,-876343452#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0046
48,1,644.456000,1,644.456000,2.9725,-782714971#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0047
49,1,644.456000,1,644.456000,2.9459,219796113#8,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0048
50,1,644.456000,1,644.456000,2.9197,-219797798#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0049
51,1,644.456000,1,644.456000,2.8936,61902790#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0050
52,2,644.456000,1,644.456000,2.8678,"-61902755,61902790#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0051
53,2,644.456000,1,644.456000,2.8422,"-61902755,219796126#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0052
54,1,644.456000,1,644.456000,2.8168,219796126#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0053
55,1,644.456000,1,644.456000,2.7917,-219796129,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0054
56,1,644.456000,1,644.456000,2.7667,219796104#1,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0055
57,1,644.456000,1,644.456000,2.7420,61902791,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0056
58,1,644.456000,1,644.456000,2.7176,-106652025#3,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0057
59,2,644.456000,1,644.456000,2.6933,"-106652025#3,5197053#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0058
60,1,644.456000,1,644.456000,2.6454,231819415#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0059
61,1,644.456000,1,644.456000,2.6218,5029410#0,D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0060
62,2,644.456000,1,644.456000,2.5984,"-240042195#2,5029410#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0061
63,2,644.456000,1,644.456000,2.5752,"-172251698#2,-240042195#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0062
64,2,644.456000,1,644.456000,2.5522,"-172251698#2,-814303496#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0063
65,2,644.456000,1,644.456000,2.5295,"-172251698#2,652756923#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0064
66,2,644.456000,1,644.456000,2.5069,"61902751#1,652756923#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0065
67,2,644.456000,1,644.456000,2.4845,"231819412,61902751#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0066
68,2,644.456000,1,644.456000,2.4623,"-106651993,61902751#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0067
69,2,644.456000,1,644.456000,2.4403,"-4935286#3,61902751#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0068
70,2,644.456000,1,644.456000,2.4186,"-4935286#3,787570921",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0069
71,3,644.456000,1,644.456000,2.3970,"-4935286#3,787570921,876343448#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0070
72,2,644.456000,1,644.456000,2.3756,"-4935286#3,876343448#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0071
73,2,644.456000,1,644.456000,2.3544,"-4935286#3,248740648#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0072
74,2,644.456000,1,644.456000,2.3334,"-4935286#3,-4970253#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0073
75,2,644.456000,1,644.456000,2.3125,"-4970253#1,-876343452#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0074
76,3,644.456000,1,644.456000,2.2919,"-4970253#1,-876343452#0,4911109#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0075
77,4,644.456000,1,644.456000,2.2714,"-4970253#1,-876343452#0,4911109#1,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0076
78,3,644.456000,1,644.456000,2.2512,"-876343452#0,4911109#1,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0077
79,3,644.456000,1,644.456000,2.2311,"-876343452#0,465886916#0,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0078
80,3,644.456000,1,644.456000,2.2111,"36974908#2,465886916#0,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0079
81,4,644.456000,1,644.456000,2.1914,"-5197053#0,36974908#2,465886916#0,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0080
82,3,618.591333,1,618.591333,2.1525,"-111677668#4,36974908#2,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0081
83,4,618.591333,1,618.591333,2.1332,"-111677668#4,124266855#2,36974908#2,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0082
84,4,644.456000,0,618.591333,2.1142,"-747796587#1,124266855#2,36974908#2,5029410#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0083
85,4,644.456000,0,618.591333,2.0953,"124266855#2,36974908#2,5029410#3,876343449#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0084
86,3,618.591333,1,618.591333,2.0581,"-111677668#4,106652004,36974908#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0085
87,3,618.591333,1,618.591333,2.0397,"-111677668#4,-280335872,36974908#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0086
88,4,618.591333,1,618.591333,2.0215,"-111677668#4,-280335872,36974908#2,774894964",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0087
89,4,618.591333,1,618.591333,2.0035,"-111677668#4,-120682113#0,-280335872,774894964",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0088
90,5,644.456000,0,618.591333,1.9856,"-111677668#4,-120682113#0,-280335872,-37548821#1,774894964",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0089
91,4,644.456000,0,618.591333,1.9679,"-111677668#4,-120682113#0,774894964,814061747#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0090
92,4,644.456000,0,618.591333,1.9503,"-120682113#0,-280335872,106652003#1,774894964",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0091
93,4,618.591333,1,618.591333,1.9329,"-111677668#4,-120682113#0,774894964,876343452#6",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0092
94,3,618.591333,1,618.591333,1.9156,"-111677668#4,-120682113#0,876343452#6",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0093
95,3,644.456000,0,618.591333,1.8985,"-120682113#0,5197053#0,876343452#6",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0094
96,2,618.591333,1,618.591333,1.8816,"-111677668#4,-120682113#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0095
97,3,618.591333,1,618.591333,1.8648,"-111677668#4,-120682113#0,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0096
98,4,618.591333,1,618.591333,1.8482,"-111677668#4,-120682113#0,7924760#4,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0097
99,5,618.591333,1,618.591333,1.8317,"-111677668#4,-120682113#0,219797801#2,7924760#4,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0098
100,4,618.591333,1,618.591333,1.8153,"-111677668#4,219797801#2,7924760#4,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0099
101,4,618.591333,1,618.591333,1.7991,"-111677668#4,219797801#2,219798593#0,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0100
102,4,618.591333,1,618.591333,1.7830,"-111677668#4,-4877786#1,219798593#0,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0101
103,4,618.591333,1,618.591333,1.7671,"-111677668#4,-4877786#1,172251697#2,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0102
104,4,606.764667,1,606.764667,1.7514,"-111677668#4,-27267512#1,-4877786#1,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0103
105,3,644.456000,0,606.764667,1.7357,"-27267512#1,-4877786#1,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0104
106,4,606.764667,1,606.764667,1.7202,"-111677668#4,-27267512#1,-4911107#2,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0105
107,4,618.591333,0,606.764667,1.7049,"-111677668#4,-4911107#2,240042196#2,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0106
108,5,606.764667,1,606.764667,1.6897,"-111677668#4,-27267512#1,-4911107#2,-814303496#1,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0107
109,5,7980.416000,0,606.764667,1.6746,"-111677668#4,-4911107#2,-814303496#1,120682114#2,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0108
110,5,627.507333,0,606.764667,1.6596,"-111677668#4,-27267512#1,-4911107#2,111677671#0,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0109
111,5,644.456000,0,606.764667,1.6448,"-27267512#1,-4911107#2,-814303496#1,255228353,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0110
112,6,644.456000,0,606.764667,1.6301,"-111677668#4,-27267512#1,-4911107#2,-814303496#1,37628709#0,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0111
113,5,606.764667,1,606.764667,1.6156,"-111677668#4,-27267512#1,-37650111#1,-4911107#2,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0112
114,5,606.764667,1,606.764667,1.6012,"-111677668#4,-27267512#1,-37650111#1,474166985#3,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0113
115,5,652.838000,0,606.764667,1.5869,"-111677668#4,-27267512#1,111677669#4,474166985#3,7925270#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0114
116,5,606.764667,1,606.764667,1.5727,"-111677668#4,-27267512#1,-37650111#1,-4970254#3,474166985#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0115
117,6,606.764667,1,606.764667,1.5587,"-111677668#4,-27267512#1,-37650111#1,-4970254#3,474166985#3,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0116
118,6,644.456000,0,606.764667,1.5447,"-219822415#0,-27267512#1,-37650111#1,-4970254#3,474166985#3,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0117
119,6,606.764667,1,606.764667,1.5310,"-111677668#4,-219797798#1,-27267512#1,-37650111#1,474166985#3,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0118
120,6,606.764667,1,606.764667,1.5173,"-111677668#4,-219797798#1,-27267512#1,-274763815#0,474166985#3,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0119
121,5,606.764667,1,606.764667,1.5038,"-111677668#4,-219797798#1,-27267512#1,-274763815#0,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0120
122,5,606.764667,1,606.764667,1.4903,"-111677668#4,-219797798#1,-27267512#1,36269567,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0121
123,4,606.764667,1,606.764667,1.4770,"-111677668#4,-27267512#1,36269567,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0122
124,5,606.764667,1,606.764667,1.4638,"-111677668#4,-245662716,-27267512#1,36269567,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0123
125,5,642.222000,0,606.764667,1.4508,"-111677668#4,-245662716,-782714971#4,36269567,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0124
126,5,606.764667,1,606.764667,1.4378,"-111677668#4,-27267512#1,274763813#4,36269567,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0125
127,5,644.456000,0,606.764667,1.4250,"-27267512#1,-36974908#0,274763813#4,36269567,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0126
128,5,606.764667,1,606.764667,1.4123,"-111677668#4,-27267512#1,274763813#4,4911107#5,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0127
129,5,606.764667,1,606.764667,1.3997,"-111677668#4,-27267512#1,-37551440,274763813#4,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0128
130,6,606.764667,1,606.764667,1.3872,"-111677668#4,-27267512#1,-37551440,-876343451#0,274763813#4,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0129
131,6,644.456000,0,606.764667,1.3748,"-27267512#1,-37551440,-876343451#0,274763813#4,7924760#4,7924766",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0130
132,6,643.993333,0,606.764667,1.3625,"-111677668#4,-37551440,-876343451#0,274763813#4,760785104#0,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0131
133,7,601.011333,1,601.011333,1.3504,"-111677668#4,-27267512#1,-37551440,-876343451#0,219822417#0,274763813#4,7924760#4",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0132
134,7,601.011333,1,601.011333,1.3383,"-111677668#4,-27267512#1,-37551440,-876343451#0,219822417#0,274763813#4,4970256#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0133
135,7,606.764667,0,601.011333,1.3264,"-111677668#4,-27267512#1,-311298662#1,-37551440,-876343451#0,274763813#4,4970256#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0134
136,7,601.011333,1,601.011333,1.3145,"-111677668#4,-27267512#1,-37551440,219822417#0,274763813#4,4970256#3,5057605#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0135
137,8,601.011333,1,601.011333,1.3028,"-111677668#4,-27267512#1,-37551440,219822417#0,274763813#4,4894997#0,4970256#3,5057605#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0136
138,9,601.011333,1,601.011333,1.2912,"-111677668#4,-27267512#1,-37551440,219822417#0,274763813#4,4894997#0,4970256#3,5057605#1,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0137
139,9,601.011333,1,601.011333,1.2796,"-111677668#4,-27267512#1,-37551440,219822417#0,274763813#4,474166985#5,4894997#0,4970256#3,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0138
140,9,606.764667,1,601.011333,1.2682,"-111677668#4,-27267512#1,-37551440,274763813#4,474166985#5,4894997#0,4970254#4,4970256#3,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0139
141,9,644.456000,0,601.011333,1.2569,"-27267512#1,-37551440,172249927,274763813#4,474166985#5,4894997#0,4970254#4,4970256#3,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0140
142,9,606.764667,1,601.011333,1.2457,"-111677668#4,-27267512#1,274763813#4,474166985#5,4894997#0,4970254#4,4970256#3,6263818#0,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0141
143,8,606.764667,1,601.011333,1.2345,"-111677668#4,-27267512#1,274763813#4,474166985#5,4970254#4,4970256#3,6263818#0,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0142
144,9,606.764667,1,601.011333,1.2235,"-111677668#4,-219822415#1,-27267512#1,274763813#4,474166985#5,4970254#4,4970256#3,6263818#0,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0143
145,9,644.456000,0,601.011333,1.2126,"-219822415#1,-27267512#1,274763813#4,474166985#5,4894991#2,4970254#4,4970256#3,6263818#0,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0144
146,9,606.764667,1,601.011333,1.2018,"-111677668#4,-172251692#1,-219822415#1,-27267512#1,274763813#4,4970254#4,4970256#3,6263818#0,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0145
147,9,606.764667,1,601.011333,1.1911,"-111677668#4,-172251692#1,-219822415#1,-27267512#1,274763813#4,36847354#0,4970256#3,6263818#0,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0146
148,9,606.764667,1,601.011333,1.1804,"-111677668#4,-172251692#1,-219822415#1,-27267512#1,-4911107#1,274763813#4,36847354#0,4970256#3,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0147
149,9,606.764667,1,601.011333,1.1699,"-111677668#4,-172251692#1,-219822415#1,-27267512#1,-4911107#1,274763813#4,478100149,4970256#3,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0148
150,9,606.764667,1,601.011333,1.1594,"-111677668#4,-219822415#1,-27267512#1,-4911107#1,274763813#4,478100149,4970256#3,5236305#1,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0149
151,9,606.764667,1,601.011333,1.1491,"-111677668#4,-219822415#1,-27267512#1,27149242,274763813#4,478100149,4970256#3,5236305#1,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0150
152,9,606.764667,1,601.011333,1.1388,"-111677668#4,-219822415#1,-27267512#1,27149242,274763813#4,478100149,4935299#1,5236305#1,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0151
153,8,606.764667,1,601.011333,1.1287,"-111677668#4,-219822415#1,-27267512#1,27149242,274763813#4,478100149,5236305#1,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0152
154,7,606.764667,1,601.011333,1.1186,"-111677668#4,-219822415#1,-27267512#1,274763813#4,478100149,5236305#1,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0153
155,7,644.456000,0,601.011333,1.1086,"-219822415#1,-27267512#1,274763813#4,478100149,5236305#1,828195561#1,876343452#7",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\sa_seed0\e0154
