rank,pred_benefit,att,k,closed_edges,run_dir
0,-495.648377,643.504000,9,"-106652015,-219796106#1,-4894992#0,106651993,111677669#0,172251697#1,248740648#1,255228349#1,4929432#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_000
1,-497.368983,644.456000,9,"-219796102#0,-5197045#0,106651997#2,248740648#1,255228349#1,40009020#5,4877788#2,4970255#0,61902746#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_001
2,-508.073697,644.456000,9,"-219797807#1,-5197053#0,-5236305#2,-814061747#2,-876057378#0,106652025#3,153134060#0,248740648#1,6263818#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_002
3,-524.542419,644.456000,9,"-231819500,106652025#1,219822382#0,231818115#1,255228349#1,36851858,474166985#5,6074658#1,7924768",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_003
4,-531.815249,644.456000,9,"-124266855#1,-172251699#0,-25142441#4,153134060#0,219797801#2,255228349#1,474166985#5,61902760,61902775",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_004
5,-533.964742,688.879333,9,"-4935286#0,-75505659,-782714971#1,-814061747#8,106651999#2,248740648#1,36974908#2,385566621,575692603#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_005
6,-534.158223,644.456000,9,"-220934962,-26943536#1,-36970994#0,-4924949#1,106652011,248740648#1,25142441#0,4894997#0,876343452#5",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_006
7,-536.849681,644.456000,9,"-120682116#9,-274763813#5,-37551339#0,-410942714#0,-74277990,248740648#1,474166981,760785104#0,814505163",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_007
8,-537.797734,679.307333,9,"-120682114#1,219797783#0,248740648#1,25142441#3,36851802,4970254#4,5236308#2,60942914#1,828203038#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_008
9,-537.903986,644.456000,9,"-274763813#4,-37551363,248740648#1,255228354#1,26216780#2,274763813#1,36851883,4970254#1,627579930#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed2\verify_009
