rank,pred_benefit,att,k,closed_edges,run_dir
0,-510.633844,644.456000,9,"-120682116#7,-4894996#2,106652017,219796113#8,219798594,248740648#1,255228345,37551440,876057378#5",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_000
1,-521.342893,644.456000,9,"-280335874#1,231818115#1,248740648#1,36851858,37551339#2,40009020#4,5055277#5,6074576#1,828195561#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_001
2,-523.113842,605.251333,9,"-172251699#1,-4929432#1,-4929432#2,-678743174,-876343449#0,255228349#1,41766849#1,4970256#5,6074658#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_002
3,-524.689201,644.456000,9,"-37627664#6,-74277990,219797792#1,220934962,248740644#2,255228349#1,465886918#1,4970254#5,6074658#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_003
4,-527.537260,614.867333,9,"-219796126#2,-240042195#2,-274763813#3,-712622897#0,-814061747#10,120682114#3,248740648#1,465886918#1,6272848#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_004
5,-533.613489,640.886667,9,"-814061747#10,-882243018,111677669#3,120682114#1,153134060#0,219796117#1,4970256#3,6074658#1,61902825",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_005
6,-534.870714,644.456000,9,"-219797807#0,-274763813#2,-311298662#1,106652030#0,248740648#1,274763814#1,474168602#1,61902755,876343451#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_006
7,-535.784237,627.266000,9,"-25142441#2,111677668#3,172251688,23464956#0,24337240#2,248740648#1,274763815#0,5055277#2,575692603#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_007
8,-536.321008,644.456000,9,"-40009020#6,120682116#7,231819410#2,248740648#1,36852266#1,4911107#2,4992725,5026771,6272848#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_008
9,-538.727848,644.456000,9,"-28468732#0,-37551363,-5029409#0,-712622899#3,106651992,172251698#1,219796118#1,248740648#1,4970254#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed0\verify_009
