rank,pred_benefit,att,k,closed_edges,run_dir
0,-457.585615,644.456000,4,"-172249927,-37627664#1,248740648#1,5197064#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_000
1,-505.153653,644.456000,9,"-25142441#5,-40009021#1,-gneE3,10271492#1,106652007#0,153134060#0,248740648#1,25162906#0,828195561#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_001
2,-518.446288,644.456000,9,"-111681903#1,-4929432#0,-5055277#5,-880142677,106652005#1,153134060#0,255228349#1,465885893#0,6272848#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_002
3,-519.453484,644.456000,9,"-106651999#0,-245662716,-4894992#0,111681903#3,172249931#3,172251695#0,255228349#1,474166985#1,6074658#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_003
4,-528.270287,644.456000,9,"-712622897#1,-876343448#3,-gneE4,219796104#5,231819500,248740648#1,5026771,5236305#1,6272848#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_004
5,-529.637922,604.136667,9,"-410942714#0,-5197061#1,-834922892#1,-835445203,106651993,111681905#0,219796130#1,248740648#1,36852290",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_005
6,-531.764975,644.456000,9,"-219797807#3,-274763813#4,248740648#1,26943536#1,4970255#1,4992725,61902779#1,760785104#1,876057378#5",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_006
7,-533.316873,644.456000,9,"-120682115,-219797779,-219822390,-37650111#0,-4970254#0,248740648#1,274763814#0,36269567,828203038#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_007
8,-534.588324,644.456000,9,"-37627664#5,-37628709#0,-4950115#0,-814303496#1,-882243018,24337240#1,248740648#1,255228346,36974908#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_008
9,-537.475099,777.318667,9,"-23359215#0,-280335874#0,-5197062#0,219797787#1,231819501#1,248740648#1,37627664#1,502325084#1,783907721#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed9\verify_009
