gen,best_pred,mean_pred
1,-290.866653,-301.369640
2,-288.985145,-299.601601
3,-283.897324,-297.786039
4,-283.897324,-296.367987
5,-283.897324,-296.273810
6,-283.897324,-297.453253
7,-283.783374,-298.506075
8,-283.783374,-297.275650
9,-283.783374,-300.976439
10,-283.783374,-299.168573
11,-283.783374,-300.641878
12,-283.783374,-299.406372
13,-283.783374,-299.696265
14,-283.783374,-299.488313
15,-283.783374,-300.540959
16,-282.628721,-299.300909
17,-282.628721,-298.424815
18,-282.628721,-299.132374
19,-282.628721,-297.453963
20,-282.566253,-300.084719
21,-282.566253,-295.746987
22,-282.566253,-296.143812
23,-282.566253,-294.627626
24,-282.566253,-294.895531
25,-282.566253,-296.918537
26,-282.566253,-299.031585
27,-281.130371,-297.689515
28,-281.130371,-296.804524
29,-281.130371,-297.871465
30,-281.130371,-299.963104
31,-281.130371,-296.279729
32,-281.130371,-299.621304
33,-281.130371,-299.678056
34,-281.130371,-298.804519
35,-281.130371,-299.482812
36,-281.130371,-296.894814
37,-281.130371,-297.023732
38,-281.130371,-296.285769
39,-281.130371,-298.079289
40,-281.130371,-298.456647
41,-281.130371,-296.311674
42,-281.130371,-297.414918
43,-281.130371,-300.075029
44,-281.130371,-299.528357
45,-281.130371,-302.734273
46,-281.130371,-299.611798
47,-281.130371,-300.452853
48,-281.130371,-299.161225
49,-279.075451,-298.196239
50,-279.075451,-296.054853
51,-279.075451,-296.557301
52,-279.075451,-296.834409
53,-279.075451,-298.388280
54,-279.075451,-298.465148
55,-279.075451,-294.500953
56,-279.075451,-296.614522
57,-279.075451,-296.164949
58,-279.075451,-296.614464
59,-279.075451,-295.347230
60,-279.075451,-296.779563
61,-279.075451,-294.722441
62,-279.075451,-300.052385
63,-279.075451,-299.468119
64,-279.075451,-300.410509
65,-279.075451,-299.085580
66,-279.075451,-295.531189
67,-279.075451,-295.442532
68,-279.075451,-295.858443
69,-279.075451,-296.728588
70,-279.075451,-293.295868
71,-279.075451,-295.387154
72,-279.075451,-294.193170
73,-279.075451,-298.489430
74,-279.075451,-297.577167
75,-279.075451,-296.770771
76,-279.075451,-295.891620
77,-279.075451,-296.948326
78,-277.337613,-292.583235
79,-277.337613,-293.342185
80,-277.337613,-294.604544
81,-277.337613,-295.415301
82,-277.337613,-295.989045
83,-277.337613,-298.979273
84,-277.337613,-297.954249
85,-277.337613,-300.701464
86,-277.337613,-298.491039
87,-277.337613,-298.075098
88,-277.337613,-297.063174
89,-277.337613,-297.772241
90,-274.269618,-297.635757
91,-274.269618,-296.537439
92,-274.269618,-298.092310
93,-274.269618,-298.895711
94,-274.269618,-298.713733
95,-274.269618,-298.167094
