rank,pred_benefit,att,k,closed_edges,run_dir
0,-274.269618,273.097000,2,"E20,E21",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_000
1,-277.099717,264.294000,3,"E16,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_001
2,-277.248039,286.326000,2,"E21,E23",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_002
3,-277.337613,237.221000,4,"E20,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_003
4,-279.075451,231.377000,4,"E21,E27,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_004
5,-279.222665,237.496000,4,"E16,E20,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_005
6,-279.274124,253.792000,3,"E21,E23,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_006
7,-279.392630,244.095000,4,"E20,E21,E23,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_007
8,-279.488240,223.893000,4,"E1,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_008
9,-279.628794,231.076000,4,"E21,E27,E41,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed7\verify_009
