edge_id,score
747494340,0.0014531422
803012921#1,0.0375386978
-747796587#1,0.0013753821
-75505659,0.0013753821
-760785104#0,0.0027459042
-760785104#2,0.0014531422
760785104#1,0.0014531422
-760785104#1,0.0013753821
760785104#2,0.0013753821
761190893,0.0013753821
-768058866,0.0013753821
-774894964,0.0013753821
778869028,0.0013753821
-782714966#0,0.0487726051
782714966#1,0.0306666472
882243017,0.0014531422
-782714971#3,0.0725501917
219797801#1,0.0022526135
782714971#4,0.0709755493
-880137009#1,0.0542911436
783907721#0,0.0493655260
-783907721#1,0.0555377355
783907721#2,0.0508794184
-787570921,0.0013753821
-7924763,0.0044080268
7924760#0,0.0053435782
-7924760#2,0.0026001040
7924760#3,0.0038637060
-7924760#3,0.0025320639
7924760#4,0.0051175879
-7924760#4,0.0038637060
7924760#5,0.0064589499
-7924760#5,0.0052828281
-814061747#10,0.0312571381
gneE0,0.0411472534
-803012921#4,0.0461603511
410947639,0.0014555722
7924764#0,0.0065367101
876343451#0,0.0377695482
-7924766,0.0000486001
-876343452#3,0.0178362275
876343452#4,0.0127016296
-876343449#3,0.0531733419
7924766,0.0002211303
876343449#4,0.0408823830
-7924768,0.0017228727
876343452#0,0.0157634343
-7924772,0.0015867924
876057378#0,0.0029840446
-803012921#1,0.0497032965
803012921#2,0.0370478371
-803012921#3,0.0479123838
803012921#4,0.0365958564
-8050332,0.0013753821
-813586707#0,0.0001822503
-813586708#1,0.0007605912
813586707#1,0.0039973562
-813586708#0,0.0005248808
813586708#1,0.0008505013
813586709,0.0000000000
-814061747#0,0.0459149207
814061747#1,0.0308659075
-876343448#5,0.0460169809
814061747#0,0.0287080642
-814061747#1,0.0426392757
814061747#2,0.0312619981
-814061747#9,0.0320007193
814061747#10,0.0380732986
-814061747#2,0.0417353143
814061747#3,0.0316848188
-814061747#5,0.0375775779
814061747#6,0.0342023027
-814061747#6,0.0367197865
814061747#7,0.0347053134
-814061747#7,0.0359227453
814061747#8,0.0370381170
-814061747#8,0.0328220605
814061747#9,0.0375168278
-814303496#0,0.0491541157
36847354#5,0.0341221125
814303496#1,0.0341221125
-876343451#3,0.0492537459
814303496#0,0.0318524891
-814303496#1,0.0462624112
36847354#0,0.0378059982
36847663#2,0.0378059982
876343448#0,0.0378059982
-814505163,0.0013753821
8162045,0.0015066023
-821347183,0.0013753821
-828195561#0,0.0339131322
876057380,0.0339131322
828195561#1,0.0446197287
-gneE0,0.0332327312
828195561#0,0.0417498943
-828195561#1,0.0012150019
782710712,0.0463790514
-834922892#0,0.0027459042
-834922892#2,0.0014531422
834922892#1,0.0014531422
-834922892#1,0.0013753821
834922892#2,0.0013753821
-866713606#0,0.0000024300
866713606#0,0.0000024300
-876057368,0.0014580022
876057368,0.0000024300
-876057378#0,0.0002502904
876057378#1,0.0026900141
-876057378#1,0.0000340201
36852252,0.0002357104
876057378#2,0.0034846254
-876057378#2,0.0011421018
36852266#1,0.0036012655
876057378#3,0.0009355514
-876057378#3,0.0022720535
36852271,0.0013559421
876057378#4,0.0006342310
-876057378#4,0.0034044352
36852284,0.0002357104
876057378#5,0.0014531422
-876057378#5,0.0045368170
36852290,0.0024761738
876057378#6,0.0000340201
-876112258,0.0014531422
-876343451#0,0.0500823771
876343451#1,0.0363455660
876112258,0.0013753821
-876343448#0,0.0414850239
36847354#1,0.0114671877
36847663#0,0.0014385622
876343448#1,0.0298914760
-876343448#1,0.0465540117
61902775,0.0014555722
876343448#2,0.0289729346
-876343449#0,0.0752936660
36851877#1,0.0014555722
876343449#1,0.0429090061
-876343449#1,0.0742511943
876343449#2,0.0421605649
-876343449#2,0.0550493048
876343449#3,0.0415846540
-876343451#1,0.0488139152
876343451#2,0.0373005574
-876343451#2,0.0457423904
69421990#0,0.0087042734
876343451#3,0.0320298793
-876343452#0,0.0009112514
36851877#0,0.0005977809
876343452#1,0.0148886329
-876343452#1,0.0007119911
36851861,0.0185312085
876343452#2,0.0141061717
-876343452#6,0.0156467941
876343452#7,0.0103299459
-880137009#0,0.0541186133
575692603#2,0.0000000000
880137009#1,0.0492610359
747448014,0.0626552165
880137009#0,0.0491662657
782714970,0.0603442829
880137010,0.0157439942
-880142677,0.0014482822
26216779#1,0.0163660752
474168056#1,0.0000000000
880142677,0.0041212863
-882243018,0.0013753821
96687079#0,0.0100918055
-96687079#1,0.0017811927
96687079#2,0.0131098702
-96687079#2,0.0022671935
96687079#3,0.0155058539
-96687079#3,0.0019853131
96687079#4,0.0319229592
-gneE2,0.0041115663
-gneE3,0.0029014245
gneE3,0.0027459042
gneE4,0.0014531422
-gneE4,0.0013753821
10271492#1,0.0086896934
106651992,0.0026511341
106652005#2,0.0039584761
106651998#1,0.0004155306
106652005#1,0.0066873703
106652029#2,0.0069425207
106652030#3,0.0065099800
106652004,0.0013778121
106652005#0,0.0013778121
106652005#3,0.0000000000
106652008,0.0108232367
106652010#0,0.0042865266
394945362,0.0006876911
4924950,0.0471809527
106652010#1,0.0007217111
355530777,0.0034870554
60942914#0,0.0021213933
6263815#1,0.0522329304
106652018,0.0008966714
106652030#2,0.0013559421
106652029#0,0.0013778121
106652030#0,0.0000923401
36975795#1,0.0026632841
255228355,0.0013583721
255228356,0.0000000000
255228357,0.0059170591
136695983#0,0.0013778121
136695983#1,0.0097200150
280335866#5,0.0097200150
153134060#0,0.0013778121
255228346,0.0029160045
255228348,0.0029160045
216943296#1,0.0019853131
62229574,0.0011542518
219796104#3,0.0254810192
219796104#1,0.0183173682
219796104#2,0.0237192665
219796104#4,0.0196125602
219796117#0,0.0057906989
219796113#2,0.0076156317
219796113#7,0.0024032737
219796130#1,0.0013705221
219796113#8,0.0025126239
231818115#1,0.0001069202
219796117#1,0.0057202288
219796117#2,0.0070178508
219796117#3,0.0054796584
219796124#0,0.0014604322
219796123#1,0.0014239822
219796124#1,0.0000072900
219796125,0.0013753821
41766849#2,0.0113845675
219797783#1,0.0146626426
219797792#1,0.0026292640
219797783#2,0.0006172210
219797796#1,0.0139968216
219797783#3,0.0061406195
41766849#3,0.0121330087
219797801#0,0.0013778121
41766849#1,0.0110103470
219798594,0.0000024300
219822382#0,0.0040508162
474166985#2,0.0000656101
219822382#2,0.0014507122
26216780#1,0.0043497067
4935299#1,0.0138485913
474168056#0,0.0027507642
219822417#1,0.0025879540
231819405,0.0000048600
25162906#1,0.0013923921
248740644#2,0.0013559421
332645871,0.0003037505
25072974#1,0.0171169464
25072974#2,0.0014312722
25072975#0,0.0156079140
25072975#1,0.0007144211
25072978,0.0148157328
25072977,0.0007265711
61652404#1,0.0011907018
61652408#1,0.0155617440
25162906#0,0.0000194400
61652404#0,0.0005418908
61652408#0,0.0008237713
255228345,0.0014604322
255228349#0,0.0013802421
255228349#1,0.0027556242
255228350,0.0058125690
255228359,0.0058125690
478100143,0.0071782311
255228351,0.0052220780
280335866#3,0.0073070213
280335873,0.0098390852
255228352#1,0.0000583201
7925270#1,0.0044420468
478100151,0.0000607501
255228353,0.0010959317
255228360,0.0000000000
7925270#0,0.0003110405
478100145,0.0024761738
255228354#0,0.0000048600
255228354#1,0.0000243000
26216779#0,0.0137708312
26216781#0,0.0160453147
783647336,0.0002430004
26216780#0,0.0142981420
783647337,0.0000000000
26216781#1,0.0253279290
474166985#6,0.0014531422
26216781#3,0.0315463086
37649100#0,0.0030107746
275267999#1,0.0014604322
280335866#4,0.0084199630
33196739,0.0154839838
332644487#1,0.0027556242
60942914#1,0.0055306885
36847663#1,0.0085390332
36851882,0.0013778121
36851883,0.0013778121
36851884,0.0013778121
36851894,0.0013778121
36975795#0,0.0013802421
37649100#1,0.0015746424
474168056#3,0.0027337542
410941454,0.0000024300
465886916#2,0.0131803403
465886917#1,0.0021845734
474166981,0.0013778121
474166985#0,0.0013778121
474166985#4,0.0067408304
474168602#0,0.0000583201
474166985#5,0.0108135167
4935287#2,0.0212552427
474168056#2,0.0013753821
478100144,0.0038515559
478100148,0.0000388801
478100149,0.0000510301
478100150,0.0000583201
478100153,0.0027993643
478100154#1,0.0000048600
478100154#0,0.0014045422
783647325#0,0.0214204830
4935299#0,0.0013778121
5029410#3,0.0349677539
6074576#1,0.0029160045
6074658#0,0.0013826721
6074658#1,0.0027604843
6074658#2,0.0041334364
61902737,0.0013778121
61902746#0,0.0013875321
61902746#1,0.0000048600
61902790#0,0.0027653443
61902751#0,0.0027653443
61902779#1,0.0000048600
61902751#1,0.0055112485
61902777#1,0.0000097200
61902759#0,0.0013875321
61902759#1,0.0000048600
61902797#0,0.0027653443
61902760,0.0013778121
61902777#0,0.0013826721
61902779#0,0.0013875321
61902788,0.0013778121
61902790#1,0.0055112485
61902824#1,0.0000097200
61902791,0.0013778121
61902797#1,0.0055112485
61902806#1,0.0000097200
61902804,0.0013778121
61902806#0,0.0013826721
61902822,0.0013778121
61902824#0,0.0013826721
61902825,0.0013778121
69421988,0.0041042763
69421990#3,0.0014555722
69421989,0.0014555722
69421990#2,0.0056376087
69421990#1,0.0071709410
69421991,0.0014555722
876057372,0.0013778121
