name,seed,demand_size,arrived,unfinished,arrived_ratio,mean_duration,mean_routeLength,mean_speed_mps,sumocfg,net,run_dir
C_k9_3od_x0.8,0,1600,1600,0,1.0,491.813125,2223.2353,4.784784512143458,netC/sim_3od_x0.8.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_3od_x0.8
C_k9_3od_x1.2,0,2400,2400,0,1.0,710.04375,2222.8219208333335,3.561243626592738,netC/sim_3od_x1.2.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_3od_x1.2
D_k9_1od_x1.0,0,2000,2000,0,1.0,537.687,2249.9961399999997,4.293387153807932,netD/sim_1od_x1.0.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_1od_x1.0
D_k9_1od_x0.8,0,1600,1600,0,1.0,537.668125,2249.83681875,4.30158029303906,netD/sim_1od_x0.8.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_1od_x0.8
D_k9_1od_x1.2,0,2400,2400,0,1.0,539.55,2243.6596375000004,4.265866207846819,netD/sim_1od_x1.2.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_1od_x1.2
D_k9_2od_x1.0,0,2000,2000,0,1.0,747.6255,2449.385265,3.565102395688337,netD/sim_2od_x1.0.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_2od_x1.0
D_k9_2od_x0.8,0,1600,1600,0,1.0,735.108125,2433.55725625,3.620789073771673,netD/sim_2od_x0.8.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_2od_x0.8
D_k9_2od_x1.2,0,2400,2400,0,1.0,752.4429166666666,2439.4144541666665,3.5218186961540474,netD/sim_2od_x1.2.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_2od_x1.2
D_k9_3od_x1.0,0,2000,2000,0,1.0,646.6175,2199.833155,3.685654209045653,netD/sim_3od_x1.0.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_3od_x1.0
D_k9_3od_x0.8,0,1600,1600,0,1.0,537.021875,2193.3310125000003,4.357552635972473,netD/sim_3od_x0.8.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_3od_x0.8
D_k9_3od_x1.2,0,2400,2400,0,1.0,712.9779166666667,2198.1042916666665,3.392896449584837,netD/sim_3od_x1.2.sumocfg,netD/netD.net.xml,D:\PSPS\baseline_runs\D_k9_3od_x1.2
J_k9_6od_x0.8,0,1200,1200,0,1.0,443.6041666666667,2933.0801666666666,7.634018158517339,netJ/wildau_6od_x0.8.sumocfg,netJ/Netzmodell2.net.xml,D:\PSPS\baseline_runs\J_k9_6od_x0.8
J_k9_6od_x1.2,0,1800,1694,0,0.9411111111111111,680.0891381345926,2947.6995395513572,5.518594592124122,netJ/wildau_6od_x1.2.sumocfg,netJ/Netzmodell2.net.xml,D:\PSPS\baseline_runs\J_k9_6od_x1.2
J_k9_6od_x1.0,0,1500,1487,0,0.9913333333333333,535.4478816408877,2933.9436718224615,6.82279989398956,netJ/wildau_6od_x1.0.sumocfg,netJ/Netzmodell2.net.xml,D:\PSPS\baseline_runs\J_k9_6od_x1.0
