rank,pred_benefit,att,k,closed_edges,run_dir
0,-521.494261,539.399500,6,"-E14,-E25,E110,E16,E28,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_000
1,-521.525892,516.970000,9,"-E25,-E32,-E50,-E52,-E58,E28,E33,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_001
2,-521.669954,539.456500,9,"-E14,-E25,-E50,-E64,E110,E16,E28,E45,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_002
3,-521.688548,512.583500,9,"-E30,-E44,-E50,-E7,E28,E31,E33,E39,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_003
4,-521.753290,532.757000,9,"-E12,-E14,-E25,-E40,-E6,E13,E33,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_004
5,-521.837409,521.819500,7,"-E25,-E32,-E47,E110,E28,E31,E39",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_005
6,-521.844627,523.615500,9,"-E14,-E17,-E25,-E26,-E47,-E50,E28,E52,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_006
7,-521.853334,518.079500,9,"-E11,-E14,-E25,-E6,E110,E28,E31,E33,E52",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_007
8,-521.858776,511.008500,9,"-E12,-E27,-E30,-E47,E110,E24,E28,E33,E57",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_008
9,-521.918836,509.072000,9,"-E12,-E14,-E30,-E38,-E58,-E6,E110,E33,E63",D:\PSPS\runs_reviewer\B_k9_3od_x1.0\surrogate_seed6\verify_009
