rank,pred_benefit,att,k,closed_edges,run_dir
0,-262.947727,280.515000,1,E21,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_000
1,-276.907189,259.206000,2,"E16,E21",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_001
2,-277.248039,286.326000,2,"E21,E23",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_002
3,-277.337613,237.221000,4,"E20,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_003
4,-277.658322,282.619000,3,"E21,E27,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_004
5,-277.745098,273.309000,2,"E21,E33",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_005
6,-277.967854,272.142000,3,"E21,E27,E5",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_006
7,-278.209246,252.498000,3,"E1,E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_007
8,-278.209455,274.609000,2,"E21,E5",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_008
9,-278.656498,229.631000,4,"E16,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed8\verify_009
