instance_id,arm,seed,att_multi,att_default,n_pen
J_k9_6od_x1.0,both,8,376.69826666666665,359.05733333333336,0.0
J_k9_6od_x1.0,both,9,384.5953333333333,366.2073333333333,0.0
J_k9_6od_x1.0,init,0,368.14773333333335,362.95866666666666,0.0
J_k9_6od_x1.0,init,1,369.3378666666666,354.518,0.0
J_k9_6od_x1.0,init,2,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,init,3,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,init,4,374.41493333333335,368.0386666666666,0.0
J_k9_6od_x1.0,init,5,347.3124,339.0613333333333,0.0
J_k9_6od_x1.0,init,6,331.1134666666667,324.6326666666667,0.0
J_k9_6od_x1.0,init,7,346.9932,342.53333333333336,0.0
J_k9_6od_x1.0,init,8,362.77293333333336,382.194,0.0
J_k9_6od_x1.0,init,9,346.9932,342.53333333333336,0.0
J_k9_6od_x1.0,mutation,0,393.2388,374.48,0.0
J_k9_6od_x1.0,mutation,1,393.2388,374.48,0.0
J_k9_6od_x1.0,mutation,2,370.25146666666666,372.484,0.0
J_k9_6od_x1.0,mutation,3,354.6974666666666,361.248,0.0
J_k9_6od_x1.0,mutation,4,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,mutation,5,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,mutation,6,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,mutation,7,412.3613333333333,380.0353333333333,0.0
J_k9_6od_x1.0,mutation,8,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,mutation,9,376.69826666666665,359.05733333333336,0.0
J_k9_6od_x1.0,none,0,353.9762666666667,373.832,0.0
J_k9_6od_x1.0,none,1,340.11400000000003,338.6173333333333,0.0
J_k9_6od_x1.0,none,2,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,none,3,412.3613333333333,380.0353333333333,0.0
J_k9_6od_x1.0,none,4,367.0656,363.39,0.0
J_k9_6od_x1.0,none,5,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,none,6,376.8916,356.89866666666666,0.0
J_k9_6od_x1.0,none,7,350.3186666666667,347.8346666666667,3.0
J_k9_6od_x1.0,none,8,368.14773333333335,362.95866666666666,0.0
