arm,mean,std,min,max,default_seed_mean,n_penalised
both,357.7205,15.3491,329.0207,378.3837,361.3009,0
heuristic,368.9671,8.3008,357.9202,383.1867,355.5175,0
init,352.2727,11.6072,329.0207,367.6335,356.4134,0
mutation,387.1196,42.1411,355.0799,449.5811,371.7113,0
no_closure,606.9055,,606.9055,606.9055,,0
none,367.4573,30.5016,341.0391,449.5811,363.5957,2
sa,485.27,105.2686,340.5081,638.9423,450.0143,0
surrogate_repaired,595.2908,49.5179,481.8836,631.3657,586.3368,0
surrogate_submitted,584.5462,81.4023,368.9674,640.7397,584.5805,0
