gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,3,313.266,E34;E36;E38,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i000,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i000\tripinfo.xml
1,1,3,300.732,E30;E34;E37,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i001,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i001\tripinfo.xml
1,2,0,315.812,,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i002,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i002\tripinfo.xml
1,3,2,309.234,E31;E43,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i003,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i003\tripinfo.xml
1,4,4,287.782,E3;E33;E4;E5,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i004,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i004\tripinfo.xml
1,5,3,330.431,E15;E34;E45,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i005,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i005\tripinfo.xml
1,6,3,303.628,E11;E15;E43,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i006,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i006\tripinfo.xml
1,7,2,311.508,E4;E43,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i007,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i007\tripinfo.xml
1,8,3,290.743,E31;E41;E6,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i008,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i008\tripinfo.xml
1,9,2,319.431,E17;E4,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i009,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i009\tripinfo.xml
1,10,4,270.189,E20;E33;E37;E5,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i010,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i010\tripinfo.xml
1,11,1,303.151,E30,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i011,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\heuristic_rev_seed0\g001_i011\tripinfo.xml
