rank,pred_benefit,att,k,closed_edges,run_dir
0,-262.947727,280.515000,1,E21,D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_000
1,-267.686732,274.734000,2,"E12,E21",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_001
2,-272.902474,268.481000,3,"E12,E21,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_002
3,-273.137751,270.627000,2,"E21,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_003
4,-274.047811,239.403000,4,"E12,E21,E27,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_004
5,-275.931221,252.030000,4,"E12,E16,E21,E27",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_005
6,-276.073252,242.958000,4,"E12,E20,E21,E42",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_006
7,-276.350178,278.672000,4,"E12,E21,E27,E33",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_007
8,-276.709769,280.662000,3,"E12,E21,E41",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_008
9,-276.785838,280.504000,3,"E12,E21,E4",D:\PSPS\runs_reviewer\A_k4_3od_x1.0\surrogate_seed7\verify_009
