mode,seed,gen,indiv,run_dir,Arrivals,TTT,ATT,TimeLossSum,WaitingTimeSum,RouteLengthSum,MeanSpeed,Teleports,k_closed,closed_edges,Reason,WallTimeSec,Step,MinExpectedEnd,VaporizedCnt,Demand,Score,is_valid
both,0,10,21,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g010_i021,800,146912.0,183.64,90720.77000000003,68367.0,761858.839999999,5.185817632324106,,4,"E16,E21,E27,E42",OK,,,,,,,True
both,1,12,8,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed1\g012_i008,800,144844.0,181.055,91376.98999999999,68117.0,725853.059999997,5.011274612686732,,4,"E1,E20,E27,E42",OK,,,,,,,True
both,2,4,10,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g004_i010,800,147780.0,184.725,93103.12999999992,70529.0,742907.2599999997,5.027116389227228,,4,"E21,E23,E27,E42",OK,,,,,,,True
both,3,15,4,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed3\g015_i004,800,144844.0,181.055,91376.98999999999,68117.0,725853.059999997,5.011274612686732,,4,"E1,E20,E27,E42",OK,,,,,,,True
both,4,11,10,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed4\g011_i010,800,147780.0,184.725,93103.12999999992,70529.0,742907.2599999997,5.027116389227228,,4,"E21,E23,E27,E42",OK,,,,,,,True
both,5,2,6,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed5\g002_i006,800,144844.0,181.055,91376.98999999999,68117.0,725853.059999997,5.011274612686732,,4,"E1,E20,E27,E42",OK,,,,,,,True
both,6,12,3,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed6\g012_i003,800,147477.0,184.34625,93343.57000000004,69740.0,735146.1699999977,4.984819124338017,,4,"E20,E27,E38,E42",OK,,,,,,,True
both,7,5,3,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed7\g005_i003,800,146912.0,183.64,90720.77000000003,68367.0,761858.839999999,5.185817632324106,,4,"E16,E21,E27,E42",OK,,,,,,,True
both,8,9,21,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed8\g009_i021,800,153240.0,191.55,98373.59000000011,75426.0,744997.25,4.86163697468024,,4,"E1,E20,E21,E42",OK,,,,,,,True
both,9,6,9,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed9\g006_i009,800,145628.0,182.035,91782.69000000005,68455.0,731471.0599999968,5.022873760540533,,4,"E20,E23,E27,E42",OK,,,,,,,True
init,0,4,20,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed0\g004_i020,800,148462.0,185.5775,93291.31000000008,70417.0,748685.6299999997,5.042944524524792,,4,"E21,E27,E39,E42",OK,,,,,,,True
init,1,6,19,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed1\g006_i019,800,149830.0,187.2875,94807.06000000004,72517.0,746121.519999999,4.9797872255222515,,4,"E1,E16,E27,E42",OK,,,,,,,True
init,2,5,19,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed2\g005_i019,800,151584.0,189.48,98042.55000000012,75589.0,727405.7499999995,4.7986974218914895,,4,"E1,E25,E27,E42",OK,,,,,,,True
init,3,12,17,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed3\g012_i017,800,144826.0,181.0325,90229.47000000002,66643.0,740040.559999997,5.109859831798137,,4,"E20,E27,E42,E6",OK,,,,,,,True
init,4,15,16,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed4\g015_i016,800,151479.0,189.34875,96717.36999999995,72819.0,742778.1099999974,4.903505502412859,,4,"E14,E20,E27,E42",OK,,,,,,,True
init,5,6,16,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed5\g006_i016,800,151756.0,189.695,95891.47000000012,73494.0,758536.57,4.998395911858509,,4,"E16,E17,E21,E27",OK,,,,,,,True
init,6,14,23,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed6\g014_i023,800,145628.0,182.035,91782.69000000005,68455.0,731471.0599999968,5.022873760540533,,4,"E20,E23,E27,E42",OK,,,,,,,True
init,7,12,18,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed7\g012_i018,800,150210.0,187.7625,96185.40999999992,72431.0,733722.5299999971,4.884645030290907,,4,"E15,E20,E27,E42",OK,,,,,,,True
init,8,6,14,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed8\g006_i014,800,151584.0,189.48,98042.55000000012,75589.0,727405.7499999995,4.7986974218914895,,4,"E1,E25,E27,E42",OK,,,,,,,True
init,9,12,17,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\init_seed9\g012_i017,800,147780.0,184.725,93103.12999999992,70529.0,742907.2599999997,5.027116389227228,,4,"E21,E23,E27,E42",OK,,,,,,,True
mutation,0,7,5,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed0\g007_i005,800,151283.0,189.10375,94784.28000000016,71777.0,765317.12,5.058844153011244,,4,"E14,E20,E21,E42",OK,,,,,,,True
mutation,1,14,4,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed1\g014_i004,800,147780.0,184.725,93103.12999999992,70529.0,742907.2599999997,5.027116389227228,,4,"E21,E23,E27,E42",OK,,,,,,,True
mutation,2,11,8,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed2\g011_i008,800,144826.0,181.0325,90229.47000000002,66643.0,740040.559999997,5.109859831798137,,4,"E20,E27,E42,E6",OK,,,,,,,True
mutation,3,6,11,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed3\g006_i011,800,145628.0,182.035,91782.69000000005,68455.0,731471.0599999968,5.022873760540533,,4,"E20,E23,E27,E42",OK,,,,,,,True
mutation,4,11,14,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed4\g011_i014,800,144844.0,181.055,91376.98999999999,68117.0,725853.059999997,5.011274612686732,,4,"E1,E20,E27,E42",OK,,,,,,,True
mutation,5,8,18,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed5\g008_i018,800,147780.0,184.725,93103.12999999992,70529.0,742907.2599999997,5.027116389227228,,4,"E21,E23,E27,E42",OK,,,,,,,True
mutation,6,11,15,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed6\g011_i015,800,145628.0,182.035,91782.69000000005,68455.0,731471.0599999968,5.022873760540533,,4,"E20,E23,E27,E42",OK,,,,,,,True
mutation,7,7,14,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed7\g007_i014,800,148018.0,185.0225,92884.04999999999,70721.0,748054.9899999982,5.0538109554243285,,4,"E20,E21,E27,E42",OK,,,,,,,True
mutation,8,15,14,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed8\g015_i014,800,144826.0,181.0325,90229.47000000002,66643.0,740040.559999997,5.109859831798137,,4,"E20,E27,E42,E6",OK,,,,,,,True
mutation,9,14,16,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\mutation_seed9\g014_i016,800,153930.0,192.4125,98839.41999999993,75113.0,748013.2599999991,4.859437796400956,,4,"E21,E27,E42,E8",OK,,,,,,,True
none,0,14,15,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g014_i015,800,149934.0,187.4175,95874.20000000006,72478.0,733845.6799999983,4.894458094895076,,4,"E1,E27,E33,E42",OK,,,,,,,True
none,1,7,15,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed1\g007_i015,800,152398.0,190.4975,97714.26999999992,75195.0,742523.9299999985,4.872268205619487,,4,"E1,E15,E21,E42",OK,,,,,,,True
none,2,7,15,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed2\g007_i015,800,151554.0,189.4425,97249.96999999999,73656.0,736753.229999998,4.861324874302216,,4,"E17,E20,E27,E42",OK,,,,,,,True
none,3,6,17,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed3\g006_i017,800,150661.0,188.32625,94200.57000000002,71168.0,764883.8100000003,5.076853399353517,,4,"E14,E21,E27,E42",OK,,,,,,,True
none,4,12,12,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed4\g012_i012,800,155602.0,194.5025,99596.63999999997,76714.0,760060.1200000006,4.8846423567820505,,4,"E16,E17,E21,E38",OK,,,,,,,True
none,5,13,11,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed5\g013_i011,800,148018.0,185.0225,92884.04999999999,70721.0,748054.9899999982,5.0538109554243285,,4,"E20,E21,E27,E42",OK,,,,,,,True
none,6,12,13,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed6\g012_i013,800,152398.0,190.4975,97714.26999999992,75195.0,742523.9299999985,4.872268205619487,,4,"E1,E21,E3,E42",OK,,,,,,,True
none,7,5,15,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed7\g005_i015,800,146912.0,183.64,90720.77000000003,68367.0,761858.839999999,5.185817632324106,,4,"E16,E21,E27,E42",OK,,,,,,,True
none,8,10,5,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed8\g010_i005,800,152398.0,190.4975,97714.26999999992,75195.0,742523.9299999985,4.872268205619487,,4,"E1,E21,E42,E8",OK,,,,,,,True
none,9,11,21,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed9\g011_i021,800,147780.0,184.725,93103.12999999992,70529.0,742907.2599999997,5.027116389227228,,4,"E21,E23,E27,E42",OK,,,,,,,True
