mode,seed,gen,indiv,run_dir,Arrivals,TTT,ATT,TimeLossSum,WaitingTimeSum,RouteLengthSum,MeanSpeed,Teleports,k_closed,closed_edges,Reason,WallTimeSec,Step,MinExpectedEnd,VaporizedCnt,Demand,Score,is_valid
both,0,1,1,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i001,800,194116.0,242.645,140238.36000000013,112089.0,730886.8400000003,3.7652065775103565,,3,"E26,E31,E35",OK,,,,,,,True
both,0,1,0,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i000,800,182744.0,228.43,128365.85000000006,100957.0,738084.6200000003,4.038899334588279,,3,"E31,E33,E37",OK,,,,,,,True
both,0,1,2,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i002,800,182744.0,228.43,128365.85000000006,100957.0,738084.6200000003,4.038899334588279,,0,,OK,,,,,,,True
both,0,1,3,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i003,800,181382.0,226.7275,127209.20999999995,100570.0,736040.5899999983,4.0579582869303366,,2,"E27,E45",OK,,,,,,,True
both,0,1,4,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i004,800,195337.0,244.17125,140794.43000000002,112528.0,738958.1999999987,3.782991445553063,,4,"E24,E30,E41,E7",OK,,,,,,,True
both,0,1,5,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i005,800,195720.0,244.65,140907.2599999999,112420.0,743391.7599999986,3.798241160842012,,3,"E11,E32,E6",OK,,,,,,,True
both,0,1,6,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i006,800,169041.0,211.30125,114488.96999999999,89663.0,739892.9099999982,4.377002679823227,,3,"E1,E13,E42",OK,,,,,,,True
both,0,1,7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i007,800,209492.0,261.865,154574.06999999986,124453.0,743974.5099999997,3.5513265900368496,,2,"E4,E43",OK,,,,,,,True
both,0,1,8,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i008,800,170933.0,213.66625,116913.86000000002,91141.0,733829.6599999995,4.293083605857262,,3,"E27,E41,E8",OK,,,,,,,True
both,0,1,9,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i009,800,186688.0,233.36,131973.78,105159.0,742364.4599999995,3.9764980073705836,,2,"E14,E4",OK,,,,,,,True
both,0,1,10,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i010,800,199986.0,249.9825,145184.55000000002,115686.0,743011.2699999986,3.7153164221495434,,4,"E15,E30,E35,E6",OK,,,,,,,True
both,0,1,11,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i011,800,204416.0,255.52,150081.86000000004,120966.0,737093.6299999998,3.6058509607858475,,1,E26,OK,,,,,,,True
both,0,1,13,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i013,800,187392.0,234.24,132985.0800000002,105435.0,737359.0599999998,3.9348481258538244,,1,E1,OK,,,,,,,True
both,0,1,12,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed0\g001_i012,800,171816.0,214.77,117783.27000000006,92393.0,734043.1499999991,4.2722630604833025,,4,"E20,E27,E32,E4",OK,,,,,,,True
