arm,mean,std,min,max,default_seed_mean,n_penalised
both,246.6214,11.1905,235.5623,269.1025,234.8629,0
heuristic,236.0009,10.5413,223.8517,256.3792,228.2137,0
init,252.1934,10.6723,238.5072,265.9376,238.5025,0
mutation,242.5751,9.6979,223.8517,260.8877,230.4095,0
no_closure,304.6916,,304.6916,304.6916,,0
none,250.3616,11.9046,239.1104,271.5906,236.064,0
sa,232.1559,11.009,223.8517,251.0841,225.9085,0
surrogate_repaired,232.9957,8.2345,223.8517,241.8526,225.4554,0
surrogate_submitted,243.7393,10.6269,224.7011,264.1489,240.8908,0
