rank,pred_benefit,att,k,closed_edges,run_dir
0,-262.947727,280.515000,1,E21,D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_000
1,-270.216250,307.767000,2,"E21,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_001
2,-274.269618,273.097000,2,"E20,E21",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_002
3,-276.907189,259.206000,2,"E16,E21",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_003
4,-277.326338,273.720000,3,"E21,E23,E27",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_004
5,-277.337613,237.221000,4,"E20,E21,E27,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_005
6,-278.209455,274.609000,2,"E21,E5",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_006
7,-278.851782,273.444000,2,"E21,E41",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_007
8,-278.965890,286.169000,2,"E21,E4",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_008
9,-279.075451,231.377000,4,"E21,E27,E33,E42",D:\PSPS\runs_reviewer_A38\A_k4_3od_x1.0\surrogate_seed9\verify_009
