rank,pred_benefit,att,k,closed_edges,run_dir
0,-498.764269,644.456000,9,"-219796102#1,-274763813#0,-4970256#8,219796104#3,248740648#1,255228349#1,36975795#1,876057376,876057378#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_000
1,-500.798163,644.456000,9,"-172251689,-219797787#1,-219797807#2,-712622896,120682116#4,124266855#5,248740648#1,255228349#1,814061747#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_001
2,-512.331912,644.456000,9,"-120682116#4,-120682116#7,219796113#7,248740648#1,255228345,37627664#1,4877786#2,61652404#1,678743173",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_002
3,-513.514244,1000000000000.000000,9,"-7924763,-835443463#2,172249931#2,248740648#1,25970859#0,37627664#1,4929432#0,6074576#1,783907721#2",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_003
4,-520.966179,714.712000,9,"-25970859#0,-37551339#2,-4877786#2,-876057378#2,219797783#3,248740648#1,4877791,6074576#1,747448015",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_004
5,-530.899891,626.228667,9,"-311298658,-465885893#0,-4911109#1,-4970255#2,-876343449#1,-96687079#0,153134060#1,248740648#1,26216781#0",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_005
6,-531.182432,644.456000,9,"-111681905#0,-219796129,-gneE3,106652016,127625589,172249928#2,248740648#1,4950117#1,747796587#1",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_006
7,-533.880721,644.456000,9,"-40009020#5,-6272848#1,-814061747#2,219797801#1,248740648#1,255228349#0,27267512#3,498033359#3,880137010",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_007
8,-534.081012,644.456000,9,"-813586707#1,106652030#1,219796106#1,255228345,255228349#1,36847354#0,474168602#2,4894996#2,5197061#3",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_008
9,-536.794771,1000000000000.000000,9,"-220934962,-27267512#0,-311298665,219796113#5,248740644#2,248740648#1,26943536#1,876343448#1,880137010",D:\PSPS\runs_reviewer\J_k9_6od_x1.0\surrogate_seed3\verify_009
